Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,190.0547
Avg BW per Deployment,87.4038
Avg MEM per Deployment,135.6309
""
Avg CPU Utilization,33.04%
Avg BW Utilization,4.79%
Avg MEM Utilization,30.57%
Std CPU Utilization,0.0599
Std BW Utilization,0.0059
Std MEM Utilization,0.0497
""
Avg Hops per Destination,2.87
Avg Deployment Time (s),0.5260
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,581
  smart_greedy,127
