time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
145,REQ_646,VNF_1->VNF_6->VNF_5,5,5,0,126.6667,52.0000,73.3333,13,2.60,True,False,True,resource_aware,,,0.4558
146,REQ_651,VNF_7->VNF_4->VNF_6,5,5,0,252.0000,70.0000,112.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4632
147,REQ_656,VNF_8->VNF_4->VNF_1,5,5,0,128.0000,105.0000,48.0000,21,4.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4439
148,REQ_665,VNF_8->VNF_6->VNF_2,5,5,0,208.0000,75.0000,128.0000,15,3.00,True,False,True,"smart_greedy,smart_greedy,resource_aware",,,0.4360
149,REQ_669,VNF_2->VNF_5->VNF_7,5,5,0,205.0000,64.0000,165.0000,8,1.60,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4446
150,REQ_671,VNF_4->VNF_3->VNF_7,5,5,0,175.0000,90.0000,154.0000,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4383
151,REQ_674,VNF_4->VNF_1->VNF_7,5,5,0,273.0000,112.0000,98.0000,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4371
152,REQ_675,VNF_8->VNF_5->VNF_1,5,5,0,205.3333,90.0000,124.6667,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4430
153,REQ_682,VNF_6->VNF_8->VNF_1,5,5,0,214.6667,48.0000,56.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4613
154,REQ_684,VNF_1->VNF_7->VNF_2,5,5,0,326.6667,136.0000,140.0000,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.5181
155,REQ_688,VNF_3->VNF_6->VNF_7,5,5,0,175.6667,90.0000,113.3333,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4837
156,REQ_693,VNF_1->VNF_2->VNF_5,5,5,0,150.0000,154.0000,130.0000,22,4.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4505
157,REQ_698,VNF_5->VNF_2->VNF_3,5,5,0,90.0000,60.0000,168.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4506
158,REQ_702,VNF_1->VNF_2->VNF_7,5,5,0,245.0000,64.0000,105.0000,8,1.60,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4445
159,REQ_709,VNF_8->VNF_1->VNF_2,5,5,0,209.6667,70.0000,102.0000,10,2.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4396
160,REQ_711,VNF_2->VNF_7->VNF_8,5,5,0,240.0000,96.0000,120.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4326
161,REQ_714,VNF_2->VNF_7->VNF_3,5,5,0,198.0000,77.0000,186.0000,11,2.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4421
162,REQ_720,VNF_4->VNF_1->VNF_7,5,5,0,168.6667,56.0000,61.3333,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4583
163,REQ_725,VNF_7->VNF_3->VNF_2,5,5,0,176.0000,133.0000,165.3333,19,3.80,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4407
164,REQ_732,VNF_7->VNF_2->VNF_5,5,5,0,161.0000,52.0000,130.3333,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4434
165,REQ_741,VNF_5->VNF_3->VNF_6,5,5,0,130.3333,60.0000,176.3333,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4477
166,REQ_745,VNF_7->VNF_1->VNF_6,5,5,0,306.6667,98.0000,80.0000,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4452
167,REQ_751,VNF_8->VNF_4->VNF_3,5,5,0,113.3333,114.0000,124.6667,19,3.80,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4559
168,REQ_753,VNF_2->VNF_5->VNF_3,5,5,0,84.0000,68.0000,154.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.5120
169,REQ_758,VNF_5->VNF_8->VNF_7,5,5,0,220.0000,64.0000,120.0000,8,1.60,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4849
170,REQ_761,VNF_7->VNF_4->VNF_3,5,5,0,106.6667,60.0000,100.0000,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4900
171,REQ_768,VNF_4->VNF_1->VNF_3,5,5,0,86.6667,56.0000,86.6667,14,2.80,True,False,True,resource_aware,,,0.4755
172,REQ_777,VNF_4->VNF_3->VNF_7,5,5,0,145.0000,147.0000,130.0000,21,4.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4699
173,REQ_783,VNF_2->VNF_8->VNF_5,5,5,0,124.6667,60.0000,119.0000,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4622
