timestamp,request_id,cpu_utilization,bw_utilization,mem_utilization
2025-12-03T17:24:47.527146,REQ_1,0.0103,0.0078,0.0185
2025-12-03T17:24:48.042663,REQ_1,0.0103,0.0097,0.0185
2025-12-03T17:24:48.042663,REQ_1,0.0103,0.0117,0.0185
2025-12-03T17:24:48.043640,REQ_1,0.0147,0.0175,0.0339
2025-12-03T17:24:48.043640,REQ_1,0.0147,0.0194,0.0339
2025-12-03T17:24:48.115389,REQ_8,0.0250,0.0078,0.0440
2025-12-03T17:24:48.116365,REQ_8,0.0250,0.0097,0.0440
2025-12-03T17:24:48.117341,REQ_8,0.0250,0.0117,0.0440
2025-12-03T17:24:48.117341,REQ_8,0.0295,0.0175,0.0512
2025-12-03T17:24:48.117341,REQ_8,0.0295,0.0214,0.0512
2025-12-03T17:24:48.220121,REQ_22,0.0384,0.0269,0.0536
2025-12-03T17:24:48.221095,REQ_22,0.0384,0.0283,0.0536
2025-12-03T17:24:48.222072,REQ_22,0.0384,0.0283,0.0536
2025-12-03T17:24:48.222072,REQ_22,0.0384,0.0297,0.0536
2025-12-03T17:24:48.223049,REQ_22,0.0415,0.0297,0.0589
2025-12-03T17:24:48.264233,REQ_25,0.0504,0.0189,0.0720
2025-12-03T17:24:48.264233,REQ_25,0.0504,0.0203,0.0720
2025-12-03T17:24:48.265208,REQ_25,0.0518,0.0217,0.0780
2025-12-03T17:24:48.265208,REQ_25,0.0518,0.0272,0.0780
2025-12-03T17:24:48.266187,REQ_25,0.0518,0.0300,0.0780
2025-12-03T17:24:48.372668,REQ_38,0.0629,0.0175,0.0857
2025-12-03T17:24:48.373650,REQ_38,0.0629,0.0189,0.0857
2025-12-03T17:24:48.373650,REQ_38,0.0629,0.0217,0.0857
2025-12-03T17:24:48.374626,REQ_38,0.0719,0.0231,0.0881
2025-12-03T17:24:48.374626,REQ_38,0.0719,0.0258,0.0881
2025-12-03T17:24:48.413056,REQ_42,0.0804,0.0278,0.0982
2025-12-03T17:24:48.413056,REQ_42,0.0804,0.0278,0.0982
2025-12-03T17:24:48.414031,REQ_42,0.0804,0.0278,0.0982
2025-12-03T17:24:48.414031,REQ_42,0.0862,0.0278,0.1012
2025-12-03T17:24:48.415008,REQ_42,0.0862,0.0278,0.1012
2025-12-03T17:24:48.438493,REQ_48,0.0929,0.0272,0.1054
2025-12-03T17:24:48.438493,REQ_48,0.0929,0.0294,0.1054
2025-12-03T17:24:49.192780,REQ_48,0.0960,0.0317,0.1137
2025-12-03T17:24:49.192780,REQ_48,0.0960,0.0428,0.1137
2025-12-03T17:24:49.193758,REQ_48,0.0960,0.0428,0.1137
2025-12-03T17:24:49.254052,REQ_55,0.1058,0.0400,0.1238
2025-12-03T17:24:49.255025,REQ_55,0.1058,0.0400,0.1238
2025-12-03T17:24:49.255025,REQ_55,0.1103,0.0414,0.1256
2025-12-03T17:24:49.256001,REQ_55,0.1103,0.0414,0.1256
2025-12-03T17:24:49.627210,REQ_55,0.1103,0.0414,0.1256
2025-12-03T17:24:49.648391,REQ_61,0.1134,0.0178,0.1321
2025-12-03T17:24:49.649378,REQ_61,0.1134,0.0189,0.1321
2025-12-03T17:24:49.649378,REQ_61,0.1134,0.0200,0.1321
2025-12-03T17:24:49.974783,REQ_61,0.1147,0.0222,0.1345
2025-12-03T17:24:49.975758,REQ_61,0.1147,0.0244,0.1345
2025-12-03T17:24:49.997334,REQ_66,0.1174,0.0267,0.1387
2025-12-03T17:24:49.997334,REQ_66,0.1210,0.0289,0.1393
2025-12-03T17:24:50.354084,REQ_66,0.1210,0.0289,0.1393
2025-12-03T17:24:50.354593,REQ_66,0.1210,0.0300,0.1393
2025-12-03T17:24:50.354593,REQ_66,0.1210,0.0300,0.1393
2025-12-03T17:24:50.573666,REQ_85,0.1281,0.0119,0.1470
2025-12-03T17:24:50.574436,REQ_85,0.1281,0.0161,0.1470
2025-12-03T17:24:50.574979,REQ_85,0.1281,0.0175,0.1470
2025-12-03T17:24:50.923556,REQ_85,0.1281,0.0189,0.1470
2025-12-03T17:24:50.923556,REQ_85,0.1281,0.0217,0.1470
2025-12-03T17:24:51.070351,REQ_111,0.1379,0.0131,0.1554
2025-12-03T17:24:51.070351,REQ_111,0.1379,0.0153,0.1554
2025-12-03T17:24:51.424228,REQ_111,0.1379,0.0219,0.1554
2025-12-03T17:24:51.424228,REQ_111,0.1446,0.0242,0.1589
2025-12-03T17:24:51.425206,REQ_111,0.1446,0.0286,0.1589
2025-12-03T17:24:51.447256,REQ_116,0.1518,0.0286,0.1613
2025-12-03T17:24:51.803208,REQ_116,0.1518,0.0303,0.1613
2025-12-03T17:24:51.803758,REQ_116,0.1558,0.0369,0.1673
2025-12-03T17:24:51.804366,REQ_116,0.1629,0.0369,0.1696
2025-12-03T17:24:51.805004,REQ_116,0.1629,0.0403,0.1696
2025-12-03T17:24:52.168509,REQ_118,0.1701,0.0419,0.1720
2025-12-03T17:24:52.168509,REQ_118,0.1701,0.0419,0.1720
2025-12-03T17:24:52.169491,REQ_118,0.1754,0.0436,0.1732
2025-12-03T17:24:52.170467,REQ_118,0.1777,0.0436,0.1768
2025-12-03T17:24:52.507330,REQ_118,0.1777,0.0436,0.1768
2025-12-03T17:24:52.542148,REQ_123,0.1821,0.0353,0.1786
2025-12-03T17:24:52.543125,REQ_123,0.1821,0.0367,0.1786
2025-12-03T17:24:52.543125,REQ_123,0.1821,0.0367,0.1786
2025-12-03T17:24:52.887370,REQ_123,0.1821,0.0408,0.1786
2025-12-03T17:24:52.887370,REQ_123,0.1821,0.0436,0.1786
2025-12-03T17:24:52.925235,REQ_127,0.1821,0.0436,0.1786
2025-12-03T17:24:52.926208,REQ_127,0.1821,0.0436,0.1786
2025-12-03T17:24:53.290417,REQ_127,0.1821,0.0436,0.1786
2025-12-03T17:24:53.291398,REQ_127,0.1821,0.0436,0.1786
2025-12-03T17:24:53.292374,REQ_127,0.1821,0.0436,0.1786
2025-12-03T17:24:53.313451,REQ_131,0.1839,0.0392,0.1869
2025-12-03T17:24:53.644016,REQ_131,0.1839,0.0392,0.1869
2025-12-03T17:24:53.645000,REQ_131,0.1839,0.0392,0.1869
2025-12-03T17:24:53.645000,REQ_131,0.1839,0.0392,0.1869
2025-12-03T17:24:53.645974,REQ_131,0.1839,0.0392,0.1869
2025-12-03T17:24:54.024566,REQ_141,0.1875,0.0131,0.1875
2025-12-03T17:24:54.025543,REQ_141,0.1875,0.0164,0.1875
2025-12-03T17:24:54.130345,REQ_150,0.1888,0.0192,0.1935
2025-12-03T17:24:54.537512,REQ_150,0.1906,0.0219,0.1964
2025-12-03T17:24:54.601283,REQ_150,0.1906,0.0233,0.1964
2025-12-03T17:24:54.661674,REQ_150,0.1906,0.0247,0.1964
2025-12-03T17:24:54.710561,REQ_150,0.1906,0.0261,0.1964
2025-12-03T17:24:55.108780,REQ_156,0.1964,0.0275,0.2030
2025-12-03T17:24:55.162705,REQ_156,0.2027,0.0303,0.2048
2025-12-03T17:24:55.218574,REQ_156,0.2027,0.0317,0.2048
2025-12-03T17:24:55.271611,REQ_156,0.2027,0.0317,0.2048
2025-12-03T17:24:55.676162,REQ_156,0.2040,0.0317,0.2107
2025-12-03T17:24:55.731444,REQ_159,0.2040,0.0317,0.2107
2025-12-03T17:24:55.779571,REQ_159,0.2040,0.0317,0.2107
2025-12-03T17:24:55.830567,REQ_159,0.2076,0.0317,0.2119
2025-12-03T17:24:56.237383,REQ_159,0.2076,0.0317,0.2119
2025-12-03T17:24:56.291518,REQ_159,0.2076,0.0317,0.2119
2025-12-03T17:24:56.346534,REQ_165,0.2063,0.0297,0.2060
2025-12-03T17:24:56.400574,REQ_165,0.2063,0.0297,0.2060
2025-12-03T17:24:56.825459,REQ_165,0.2063,0.0297,0.2060
2025-12-03T17:24:56.880775,REQ_165,0.2063,0.0342,0.2060
2025-12-03T17:24:56.944088,REQ_165,0.2063,0.0342,0.2060
2025-12-03T17:24:57.003728,REQ_170,0.2063,0.0328,0.2060
2025-12-03T17:24:57.409499,REQ_170,0.2063,0.0328,0.2060
2025-12-03T17:24:57.462430,REQ_170,0.2063,0.0328,0.2060
2025-12-03T17:24:57.516390,REQ_170,0.2063,0.0328,0.2060
2025-12-03T17:24:57.572275,REQ_170,0.2063,0.0328,0.2060
2025-12-03T17:24:57.955357,REQ_177,0.2063,0.0328,0.2060
2025-12-03T17:24:58.014420,REQ_177,0.2094,0.0350,0.2107
2025-12-03T17:24:58.074423,REQ_177,0.2192,0.0372,0.2137
2025-12-03T17:24:58.128417,REQ_177,0.2192,0.0372,0.2137
2025-12-03T17:24:58.549434,REQ_177,0.2192,0.0372,0.2137
2025-12-03T17:24:58.605541,REQ_179,0.2321,0.0331,0.2214
