episode,reward,acceptance_rate,blocking_rate,avg_cpu_util,avg_mem_util,avg_bw_util,backup_activation,backup_success
0,21.84,56.25,43.75,19.062500000000004,19.047619047619047,3.527777777777774,2.1505376344086025,100.0
1,21.827000000000005,57.57575757575758,42.42424242424242,20.044642857142858,19.82142857142858,3.805555555555562,4.081632653061225,100.0
2,21.640000000000004,58.82352941176471,41.17647058823529,21.83035714285715,21.30952380952381,4.083333333333328,6.796116504854369,100.0
3,21.627000000000002,60.0,40.0,22.098214285714292,21.726190476190478,4.083333333333328,9.25925925925926,100.0
4,22.066000000000003,61.111111111111114,38.888888888888886,22.32142857142857,21.964285714285715,4.388888888888887,9.734513274336283,100.0
5,21.827000000000005,62.16216216216216,37.83783783783784,22.633928571428562,21.666666666666668,4.555555555555557,11.016949152542372,100.0
6,22.053,63.1578947368421,36.8421052631579,24.598214285714292,22.26190476190476,5.444444444444441,11.38211382113821,100.0
7,21.879,64.1025641025641,35.8974358974359,27.544642857142854,23.630952380952387,5.222222222222217,12.5,100.0
8,21.627000000000002,65.0,35.0,27.857142857142858,24.464285714285715,5.666666666666664,14.285714285714285,100.0
9,21.827000000000005,65.85365853658537,34.14634146341463,29.464285714285708,25.89285714285714,5.777777777777771,15.217391304347828,100.0
10,21.64,66.66666666666666,33.33333333333334,29.01785714285714,25.773809523809522,4.499999999999993,16.783216783216783,100.0
11,21.879,67.44186046511628,32.55813953488372,29.464285714285708,26.60714285714286,4.416666666666669,17.56756756756757,100.0
12,21.827,68.18181818181817,31.818181818181827,30.53571428571429,26.845238095238088,4.6944444444444455,18.30065359477124,100.0
13,21.84,68.88888888888889,31.111111111111114,31.160714285714285,26.96428571428572,4.6944444444444455,18.9873417721519,100.0
14,21.562,69.56521739130434,30.434782608695656,31.428571428571427,27.857142857142858,4.749999999999998,20.245398773006134,100.0
15,21.879,70.2127659574468,29.787234042553195,31.562500000000004,28.095238095238095,4.861111111111105,20.833333333333336,100.0
16,21.853000000000005,70.83333333333334,29.166666666666657,31.785714285714285,28.452380952380953,4.6944444444444455,21.38728323699422,100.0
17,22.079,71.42857142857143,28.57142857142857,31.785714285714285,28.452380952380953,4.8055555555555625,21.34831460674157,100.0
18,21.853,72.0,28.0,31.874999999999996,28.57142857142858,4.6944444444444455,21.85792349726776,100.0
19,22.066,72.54901960784314,27.450980392156865,32.00892857142856,28.809523809523807,4.6944444444444455,21.808510638297875,100.0
20,21.805,73.07692307692307,26.923076923076934,32.63392857142857,28.988095238095248,4.6944444444444455,22.279792746113987,100.0
21,21.740000000000002,73.58490566037736,26.41509433962264,32.63392857142857,28.988095238095248,4.77777777777778,22.727272727272727,100.0
22,21.553,74.07407407407408,25.925925925925924,33.839285714285715,30.17857142857142,5.000000000000004,23.645320197044335,100.0
23,21.327,74.54545454545455,25.454545454545453,33.839285714285715,30.17857142857142,5.000000000000004,25.0,100.0
24,21.892,75.0,25.0,32.63392857142857,28.988095238095248,4.583333333333339,25.352112676056336,100.0
25,21.892000000000003,75.43859649122807,24.56140350877193,32.901785714285715,28.988095238095248,4.444444444444451,25.688073394495415,100.0
26,21.879,75.86206896551724,24.13793103448276,32.901785714285715,28.988095238095248,4.472222222222233,26.00896860986547,100.0
27,21.14,76.27118644067797,23.728813559322035,32.901785714285715,28.988095238095248,4.472222222222233,27.631578947368425,100.0
28,21.54,76.66666666666667,23.33333333333333,32.901785714285715,28.988095238095248,4.472222222222233,28.32618025751073,100.0
29,21.366,77.04918032786885,22.950819672131146,32.901785714285715,28.988095238095248,4.361111111111116,28.991596638655466,100.0
30,22.053000000000004,77.41935483870968,22.58064516129032,33.4375,29.107142857142854,4.6944444444444455,28.80658436213992,100.0
31,21.618000000000002,77.77777777777779,22.222222222222214,33.4375,29.107142857142854,4.6944444444444455,29.435483870967744,100.0
32,21.866000000000003,78.125,21.875,33.4375,29.821428571428577,4.472222222222233,29.64426877470356,100.0
33,21.879,78.46153846153847,21.538461538461533,33.4375,29.821428571428577,4.6944444444444455,29.844961240310074,100.0
34,21.453000000000003,78.78787878787878,21.212121212121218,33.4375,29.821428571428577,4.833333333333323,30.798479087452474,100.0
35,21.766000000000002,79.1044776119403,20.895522388059703,33.4375,29.821428571428577,4.833333333333323,30.970149253731343,100.0
