Episode,RequestID,Status,ConsumedBW,ConsumedCPU,ConsumedMem,Links,VNFs
126,711,Accepted,66.00,36.00,18.00,11,3
127,714,Accepted,63.00,33.00,31.00,9,3
128,720,Accepted,44.00,22.00,8.00,11,3
129,725,Accepted,56.00,33.00,31.00,8,3
130,732,Accepted,36.00,21.00,17.00,9,3
131,741,Accepted,50.00,17.00,23.00,10,3
132,745,Accepted,70.00,46.00,12.00,10,3
133,751,Accepted,72.00,20.00,22.00,12,3
134,753,Accepted,44.00,12.00,22.00,11,3
135,758,Accepted,56.00,44.00,24.00,7,3
136,761,Accepted,32.00,16.00,15.00,8,3
137,768,Accepted,40.00,13.00,13.00,10,3
138,777,Accepted,84.00,29.00,26.00,12,3
139,783,Accepted,50.00,22.00,21.00,10,3
140,792,Accepted,64.00,27.00,26.00,8,3
141,799,Accepted,80.00,37.00,22.00,10,3
142,801,Accepted,72.00,37.00,16.00,9,3
143,806,Accepted,44.00,14.00,16.00,11,3
144,810,Accepted,52.00,19.00,18.00,13,3
145,816,Accepted,70.00,16.00,23.00,14,3
146,821,Accepted,48.00,22.00,10.00,12,3
147,825,Accepted,75.00,26.00,21.00,15,3
148,829,Accepted,63.00,43.00,19.00,9,3
149,830,Accepted,63.00,37.00,19.00,9,3
150,835,Accepted,78.00,26.00,23.00,13,3
151,839,Accepted,88.00,44.00,15.00,11,3
152,844,Accepted,50.00,16.00,19.00,10,3
153,850,Accepted,40.00,16.00,16.00,10,3
154,853,Accepted,42.00,26.00,18.00,7,3
155,859,Accepted,44.00,18.00,14.00,11,3
156,863,Accepted,54.00,39.00,10.00,9,3
157,866,Accepted,104.00,34.00,29.00,13,3
158,870,Accepted,40.00,19.00,17.00,8,3
159,878,Accepted,48.00,18.00,15.00,12,3
160,880,Accepted,98.00,29.00,23.00,14,3
161,886,Accepted,48.00,12.00,15.00,12,3
162,892,Accepted,55.00,14.00,24.00,11,3
163,900,Accepted,63.00,39.00,19.00,9,3
164,905,Accepted,42.00,38.00,12.00,7,3
165,908,Accepted,48.00,19.00,18.00,12,3
166,910,Accepted,70.00,46.00,12.00,10,3
167,915,Accepted,55.00,30.00,16.00,11,3
168,918,Accepted,120.00,34.00,27.00,15,3
169,919,Accepted,60.00,21.00,18.00,12,3
170,926,Accepted,66.00,25.00,25.00,11,3
171,933,Accepted,70.00,38.00,17.00,10,3
172,938,Accepted,65.00,21.00,22.00,13,3
173,944,Accepted,84.00,37.00,19.00,12,3
174,946,Accepted,40.00,16.00,17.00,10,3
175,953,Accepted,64.00,52.00,16.00,8,3
176,955,Accepted,48.00,14.00,16.00,12,3
177,956,Accepted,64.00,37.00,21.00,8,3
178,962,Accepted,52.00,13.00,18.00,13,3
179,968,Accepted,72.00,52.00,13.00,9,3
180,973,Accepted,70.00,19.00,15.00,14,3
181,978,Accepted,52.00,21.00,12.00,13,3
182,982,Accepted,50.00,23.00,10.00,10,3
183,986,Accepted,64.00,52.00,13.00,8,3
184,990,Accepted,77.00,24.00,28.00,11,3
185,995,Accepted,50.00,20.00,18.00,10,3
186,1000,Accepted,88.00,29.00,27.00,11,3
187,1005,Accepted,72.00,24.00,26.00,12,3
188,1007,Accepted,56.00,35.00,29.00,8,3
189,1010,Accepted,70.00,35.00,29.00,10,3
190,1015,Accepted,48.00,27.00,18.00,8,3
191,1016,Accepted,40.00,18.00,14.00,10,3
192,1023,Accepted,72.00,34.00,35.00,9,3
193,1029,Accepted,80.00,42.00,25.00,10,3
194,1033,Accepted,60.00,27.00,18.00,10,3
195,1038,Accepted,80.00,24.00,44.00,10,3
196,1042,Accepted,88.00,45.00,13.00,11,3
197,1046,Accepted,36.00,18.00,16.00,9,3
198,1053,Accepted,54.00,36.00,18.00,9,3
199,1058,Accepted,35.00,20.00,20.00,7,3
200,1065,Accepted,55.00,23.00,12.00,11,3
201,1072,Accepted,77.00,29.00,29.00,11,3
202,1078,Accepted,44.00,15.00,18.00,11,3
203,1082,Accepted,80.00,37.00,15.00,10,3
204,1087,Accepted,77.00,23.00,25.00,11,3
205,1092,Accepted,88.00,24.00,38.00,11,3
206,1098,Accepted,65.00,21.00,17.00,13,3
