Episode,RequestID,Status,ConsumedBW,ConsumedCPU,ConsumedMem,Links,VNFs
0,150,Accepted,70.00,16.00,19.00,14,3
1,156,Accepted,55.00,27.00,14.00,11,3
2,159,Accepted,48.00,18.00,16.00,12,3
3,165,Accepted,88.00,37.00,25.00,11,3
4,170,Accepted,75.00,23.00,14.00,15,3
5,177,Accepted,96.00,36.00,27.00,12,3
6,179,Accepted,88.00,44.00,18.00,11,3
7,180,Accepted,88.00,44.00,24.00,11,3
8,185,Accepted,84.00,36.00,24.00,12,3
9,189,Accepted,72.00,32.00,19.00,12,3
10,193,Accepted,60.00,12.00,22.00,15,3
11,196,Accepted,75.00,27.00,14.00,15,3
12,202,Accepted,91.00,24.00,28.00,13,3
13,205,Accepted,40.00,17.00,18.00,10,3
14,208,Accepted,44.00,18.00,14.00,11,3
15,212,Accepted,84.00,20.00,22.00,14,3
16,217,Accepted,56.00,21.00,17.00,14,3
17,224,Accepted,66.00,21.00,21.00,11,3
18,229,Accepted,44.00,18.00,9.00,11,3
19,233,Accepted,55.00,34.00,7.00,11,3
20,236,Accepted,105.00,27.00,31.00,15,3
21,241,Accepted,104.00,32.00,36.00,13,3
