episode,reward,acceptance_rate,blocking_rate,avg_cpu_util,avg_mem_util,avg_bw_util,backup_activation,backup_success
0,21.235,54.54545454545454,45.45454545454546,19.46428571428571,19.880952380952387,3.0277777777777737,1.0869565217391304,100.0
1,18.615000000000002,55.88235294117647,44.11764705882353,21.116071428571438,20.77380952380953,3.44444444444445,4.123711340206185,100.0
2,21.265,57.14285714285714,42.85714285714286,21.38392857142857,21.190476190476193,3.44444444444445,4.901960784313726,100.0
3,21.309999999999995,58.333333333333336,41.666666666666664,21.473214285714292,20.833333333333336,3.6111111111111094,5.607476635514018,100.0
4,21.220000000000002,59.45945945945946,40.54054054054054,22.098214285714292,20.65476190476191,3.6944444444444335,6.25,100.0
5,21.25,60.526315789473685,39.473684210526315,24.642857142857146,24.04761904761905,4.138888888888892,6.837606837606838,100.0
6,19.550000000000004,61.53846153846154,38.46153846153846,26.249999999999996,25.297619047619047,4.1666666666666625,8.19672131147541,100.0
7,19.35,62.5,37.5,27.901785714285708,26.249999999999996,4.388888888888887,10.236220472440944,100.0
8,20.545,63.41463414634146,36.58536585365854,28.928571428571438,27.380952380952383,4.083333333333328,10.606060606060606,100.0
9,22.245000000000005,64.28571428571429,35.71428571428571,27.991071428571434,27.02380952380953,3.8888888888888973,10.218978102189782,100.0
10,20.255000000000003,65.11627906976744,34.883720930232556,28.526785714285708,27.857142857142858,4.138888888888892,11.267605633802818,100.0
11,20.225,65.9090909090909,34.09090909090909,28.97321428571429,27.916666666666668,4.972222222222222,12.244897959183673,100.0
12,19.55,66.66666666666666,33.33333333333334,28.97321428571429,27.916666666666668,4.972222222222222,13.157894736842104,100.0
13,21.325000000000003,67.3913043478261,32.60869565217391,29.464285714285708,28.095238095238095,4.444444444444451,13.375796178343949,100.0
14,18.585,68.08510638297872,31.914893617021278,29.374999999999996,28.273809523809522,4.444444444444451,14.814814814814813,100.0
15,20.270000000000003,68.75,31.25,30.044642857142854,29.22619047619047,4.444444444444451,15.568862275449103,100.0
16,21.25,69.38775510204081,30.612244897959187,30.714285714285715,29.821428571428577,4.8888888888888875,15.69767441860465,100.0
17,19.610000000000003,70.0,30.0,30.714285714285715,29.821428571428577,5.000000000000004,16.38418079096045,100.0
18,20.330000000000002,70.58823529411765,29.411764705882348,30.223214285714285,29.58333333333333,4.611111111111099,17.032967032967033,100.0
19,19.29,71.15384615384616,28.84615384615384,30.044642857142854,29.166666666666664,4.27777777777777,18.181818181818183,100.0
20,21.220000000000002,71.69811320754717,28.301886792452834,30.044642857142854,29.166666666666664,4.499999999999993,18.229166666666664,100.0
21,20.225,72.22222222222221,27.777777777777786,31.026785714285708,31.904761904761912,4.722222222222216,18.781725888324875,100.0
