time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.3975
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0314
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0176
10,REQ_32,VNF_3->VNF_8->VNF_5,5,5,0,115.0000,91.0000,150.0000,115.0000,91.0000,150.0000,3,13,0.4792,0.0875,0.8333,13,2.60,True,False,False,,,,0.0166
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0201
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0162
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,80.0000,110.0000,185.0000,80.0000,110.0000,4,10,0.5781,0.1000,0.4583,10,2.00,True,False,False,,,,0.5309
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,3,10,0.4167,0.0500,0.3889,10,2.00,True,False,False,,,,0.2725
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2483
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,72.0000,55.0000,105.0000,68.0000,55.0000,5,17,0.2625,0.0500,0.1833,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4475
18,REQ_72,VNF_5->VNF_1->VNF_4,5,5,0,95.0000,70.0000,75.0000,95.0000,50.0000,75.0000,3,10,0.3958,0.0625,0.4167,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4255
19,REQ_80,VNF_4->VNF_1->VNF_5,5,5,0,75.0000,48.0000,60.0000,75.0000,44.0000,60.0000,5,11,0.1875,0.0500,0.2000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4257
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,85.0000,80.0000,130.0000,65.0000,80.0000,3,13,0.5417,0.0625,0.4444,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4269
21,REQ_89,VNF_5->VNF_8->VNF_2,5,5,0,125.0000,90.0000,125.0000,125.0000,66.0000,125.0000,6,11,0.2604,0.0750,0.3472,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4252
22,REQ_94,VNF_5->VNF_7->VNF_6,5,5,0,140.0000,60.0000,80.0000,140.0000,45.0000,80.0000,4,9,0.4375,0.0625,0.3333,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4278
23,REQ_98,VNF_7->VNF_2->VNF_3,5,5,0,165.0000,91.0000,155.0000,165.0000,63.0000,155.0000,4,9,0.5156,0.0875,0.6458,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4293
24,REQ_104,VNF_6->VNF_4->VNF_7,5,5,0,160.0000,66.0000,70.0000,160.0000,60.0000,70.0000,6,10,0.3333,0.0750,0.1944,11,2.20,True,False,True,resource_aware,,,0.4340
