Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,34,100.00%,4475.0000,2559.0000
100,50,100.00%,7105.0000,4397.0000
150,49,100.00%,6830.0000,4306.0000
200,50,100.00%,6980.0000,4303.0000
250,35,100.00%,5075.0000,3150.0000
