Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,27,100.00%,3895.0000,1848.0000
100,9,100.00%,1220.0000,656.0000
150,8,100.00%,825.0000,514.0000
200,3,100.00%,295.0000,182.0000
250,4,100.00%,285.0000,188.0000
300,6,100.00%,820.0000,432.0000
350,50,100.00%,7245.0000,3084.0000
400,50,100.00%,6810.0000,3235.0000
