Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.3849
Avg BW per Deployment,76.2366
Avg MEM per Deployment,99.8265
""
Avg CPU Utilization,54.42%
Avg BW Utilization,7.58%
Avg MEM Utilization,54.41%
Std CPU Utilization,0.2825
Std BW Utilization,0.0179
Std MEM Utilization,0.4012
""
Avg Hops per Destination,2.50
Avg Deployment Time (s),0.0168
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,619
  smart_greedy,122
