time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.4060
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0301
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0181
10,REQ_32,VNF_3->VNF_8->VNF_5,5,5,0,115.0000,91.0000,150.0000,115.0000,91.0000,150.0000,3,13,0.4792,0.0875,0.8333,13,2.60,True,False,False,,,,0.0173
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0201
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0167
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,80.0000,110.0000,185.0000,80.0000,110.0000,4,10,0.5781,0.1000,0.4583,10,2.00,True,False,False,,,,0.5790
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,3,10,0.4167,0.0500,0.3889,10,2.00,True,False,False,,,,0.3198
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2848
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,44.0000,90.0000,65.0000,44.0000,90.0000,3,11,0.2708,0.0500,0.5000,11,2.20,True,False,False,,,,0.2789
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,56.0000,55.0000,105.0000,56.0000,55.0000,4,14,0.3281,0.0500,0.2292,14,2.80,True,False,False,,,,0.2853
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,70.0000,80.0000,130.0000,70.0000,80.0000,4,14,0.4062,0.0625,0.3333,14,2.80,True,False,False,,,,0.2989
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,185.0000,80.0000,95.0000,185.0000,80.0000,95.0000,4,10,0.5781,0.1000,0.3958,10,2.00,True,False,False,,,,0.2849
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,180.0000,60.0000,90.0000,180.0000,60.0000,90.0000,4,10,0.5625,0.0750,0.3750,10,2.00,True,False,False,,,,0.2852
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,120.0000,60.0000,80.0000,120.0000,60.0000,80.0000,4,12,0.3750,0.0625,0.3333,12,2.40,True,False,False,,,,0.2781
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,115.0000,55.0000,70.0000,115.0000,55.0000,70.0000,4,11,0.3594,0.0625,0.2917,11,2.20,True,False,False,,,,0.2770
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,100.0000,70.0000,190.0000,100.0000,70.0000,190.0000,4,10,0.3125,0.0875,0.7917,10,2.00,True,False,False,,,,0.2813
33,REQ_146,VNF_7->VNF_1->VNF_4,5,5,0,195.0000,105.0000,70.0000,195.0000,77.0000,70.0000,3,11,0.8125,0.0875,0.3889,15,3.00,True,False,True,resource_aware,,,0.4858
34,REQ_150,VNF_6->VNF_3->VNF_4,5,5,0,80.0000,90.0000,95.0000,80.0000,60.0000,95.0000,6,12,0.1667,0.0625,0.2639,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4573
35,REQ_156,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,85.0000,70.0000,135.0000,55.0000,70.0000,4,11,0.4219,0.0625,0.2917,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4410
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,90.0000,56.0000,80.0000,90.0000,44.0000,80.0000,5,11,0.2250,0.0500,0.2667,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4419
37,REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,185.0000,104.0000,125.0000,185.0000,104.0000,125.0000,7,13,0.3304,0.1000,0.2976,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4529
38,REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,115.0000,95.0000,70.0000,115.0000,75.0000,70.0000,7,15,0.2054,0.0625,0.1667,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.4716
39,REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,180.0000,136.0000,135.0000,180.0000,112.0000,135.0000,5,14,0.4500,0.1000,0.4500,17,3.40,True,False,True,resource_aware,,,0.5000
40,REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,220.0000,136.0000,90.0000,220.0000,80.0000,90.0000,5,10,0.5500,0.1000,0.3000,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4723
41,REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,220.0000,120.0000,120.0000,220.0000,112.0000,120.0000,5,14,0.5500,0.1000,0.4000,15,3.00,True,False,True,resource_aware,,,0.4641
42,REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,180.0000,112.0000,120.0000,180.0000,84.0000,120.0000,6,12,0.3750,0.0875,0.3333,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4760
43,REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,160.0000,72.0000,95.0000,160.0000,66.0000,95.0000,8,11,0.2500,0.0750,0.1979,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4729
44,REQ_193,VNF_3->VNF_2->VNF_5,5,5,0,60.0000,60.0000,110.0000,60.0000,44.0000,110.0000,5,11,0.1500,0.0500,0.3667,15,3.00,True,False,True,resource_aware,,,0.5191
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,75.0000,70.0000,135.0000,70.0000,70.0000,5,14,0.3375,0.0625,0.2333,15,3.00,True,False,True,resource_aware,,,0.5022
46,REQ_202,VNF_1->VNF_3->VNF_5,5,5,0,120.0000,119.0000,140.0000,120.0000,77.0000,140.0000,3,11,0.5000,0.0875,0.7778,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4872
47,REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,85.0000,64.0000,90.0000,85.0000,44.0000,90.0000,3,11,0.3542,0.0500,0.5000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4939
48,REQ_208,VNF_7->VNF_4->VNF_5,5,5,0,90.0000,52.0000,70.0000,90.0000,44.0000,70.0000,4,11,0.2812,0.0500,0.2917,13,2.60,True,False,True,resource_aware,,,0.4872
49,REQ_212,VNF_4->VNF_8->VNF_3,5,5,0,100.0000,102.0000,110.0000,100.0000,72.0000,110.0000,4,12,0.3125,0.0750,0.4583,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.5059
50,REQ_217,VNF_5->VNF_7->VNF_2,5,5,0,105.0000,60.0000,85.0000,105.0000,52.0000,85.0000,4,13,0.3281,0.0500,0.3542,15,3.00,True,False,True,resource_aware,,,0.6581
51,REQ_224,VNF_5->VNF_4->VNF_8,5,5,0,105.0000,84.0000,105.0000,105.0000,60.0000,105.0000,3,10,0.4375,0.0750,0.5833,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4812
52,REQ_229,VNF_4->VNF_6->VNF_8,5,5,0,90.0000,56.0000,45.0000,90.0000,44.0000,45.0000,5,11,0.2250,0.0500,0.1500,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4626
53,REQ_233,VNF_7->VNF_1->VNF_8,5,5,0,170.0000,45.0000,35.0000,170.0000,45.0000,35.0000,4,9,0.5312,0.0625,0.1458,9,1.80,True,False,True,"resource_aware,resource_aware",,,0.7639
54,REQ_236,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,112.0000,155.0000,135.0000,91.0000,155.0000,3,13,0.5625,0.0875,0.8611,16,3.20,True,False,True,resource_aware,,,0.4881
55,REQ_241,VNF_6->VNF_2->VNF_3,5,5,0,160.0000,136.0000,180.0000,160.0000,88.0000,180.0000,4,11,0.5000,0.1000,0.7500,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4797
56,REQ_243,VNF_3->VNF_5->VNF_6,5,5,0,100.0000,66.0000,135.0000,100.0000,48.0000,135.0000,4,8,0.3125,0.0750,0.5625,11,2.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5332
57,REQ_246,VNF_1->VNF_6->VNF_8,5,5,0,200.0000,91.0000,55.0000,200.0000,77.0000,55.0000,4,11,0.6250,0.0875,0.2292,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.5413
58,REQ_253,VNF_6->VNF_8->VNF_1,5,5,0,145.0000,60.0000,40.0000,145.0000,45.0000,40.0000,4,9,0.4531,0.0625,0.1667,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.5047
59,REQ_254,VNF_5->VNF_1->VNF_3,5,5,0,70.0000,40.0000,80.0000,70.0000,40.0000,80.0000,6,10,0.1458,0.0500,0.2222,10,2.00,True,False,True,resource_aware,,,0.4994
60,REQ_258,VNF_5->VNF_8->VNF_7,5,5,0,190.0000,105.0000,105.0000,190.0000,91.0000,105.0000,5,13,0.4750,0.0875,0.3500,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4919
61,REQ_265,VNF_5->VNF_1->VNF_3,5,5,0,105.0000,72.0000,125.0000,105.0000,72.0000,125.0000,4,12,0.3281,0.0750,0.5208,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4950
62,REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,160.0000,78.0000,95.0000,160.0000,72.0000,95.0000,7,12,0.2857,0.0750,0.2262,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.5068
63,REQ_274,VNF_8->VNF_6->VNF_1,5,5,0,170.0000,108.0000,50.0000,170.0000,72.0000,50.0000,5,12,0.4250,0.0750,0.1667,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5243
64,REQ_278,VNF_6->VNF_3->VNF_4,5,5,0,115.0000,70.0000,130.0000,115.0000,56.0000,130.0000,5,8,0.2875,0.0875,0.4333,10,2.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.5007
65,REQ_283,VNF_7->VNF_2->VNF_5,5,5,0,205.0000,96.0000,165.0000,205.0000,80.0000,165.0000,3,10,0.8542,0.1000,0.9167,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4910
66,REQ_290,VNF_5->VNF_6->VNF_2,5,5,0,85.0000,64.0000,85.0000,85.0000,52.0000,85.0000,4,13,0.2656,0.0500,0.3542,16,3.20,True,False,True,resource_aware,,,0.5305
67,REQ_294,VNF_4->VNF_1->VNF_8,5,5,0,120.0000,60.0000,45.0000,120.0000,55.0000,45.0000,4,11,0.3750,0.0625,0.1875,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4946
68,REQ_297,VNF_2->VNF_1->VNF_4,5,5,0,170.0000,152.0000,120.0000,170.0000,104.0000,120.0000,7,13,0.3036,0.1000,0.2857,19,3.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4743
69,REQ_303,VNF_7->VNF_6->VNF_3,5,5,0,180.0000,77.0000,120.0000,180.0000,70.0000,120.0000,2,10,1.1250,0.0875,1.0000,11,2.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4751
70,REQ_311,VNF_6->VNF_7->VNF_8,5,5,0,165.0000,55.0000,50.0000,165.0000,50.0000,50.0000,3,10,0.6875,0.0625,0.2778,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.4835
71,REQ_314,VNF_8->VNF_6->VNF_4,5,5,0,185.0000,128.0000,95.0000,185.0000,96.0000,95.0000,6,12,0.3854,0.1000,0.2639,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4950
72,REQ_318,VNF_7->VNF_2->VNF_3,5,5,0,120.0000,65.0000,110.0000,120.0000,60.0000,110.0000,4,12,0.3750,0.0625,0.4583,13,2.60,True,False,True,resource_aware,,,0.4821
