timestamp,request_id,cpu_utilization,bw_utilization,mem_utilization,num_used_nodes,num_used_links
2025-12-04T19:23:15.681859,REQ_1,0.2875,0.0875,0.5167,1,4
2025-12-04T19:23:16.034044,REQ_1,0.2875,0.0875,0.5167,2,5
2025-12-04T19:23:16.034044,REQ_1,0.2875,0.0875,0.5167,3,6
2025-12-04T19:23:16.035023,REQ_1,0.2875,0.0875,0.5167,4,9
2025-12-04T19:23:16.035023,REQ_1,0.2875,0.0875,0.5167,5,10
2025-12-04T19:23:16.127599,REQ_22,0.3375,0.0625,0.2167,1,5
2025-12-04T19:23:16.128577,REQ_22,0.3375,0.0625,0.2167,2,6
2025-12-04T19:23:16.128577,REQ_22,0.5062,0.0625,0.3250,2,7
2025-12-04T19:23:16.128577,REQ_22,0.6750,0.0625,0.4333,2,8
2025-12-04T19:23:16.129551,REQ_22,0.5625,0.0625,0.3611,3,10
2025-12-04T19:23:16.141803,REQ_25,0.2500,0.0625,0.3667,1,5
2025-12-04T19:23:16.142779,REQ_25,0.5000,0.0625,0.7333,1,6
2025-12-04T19:23:16.142779,REQ_25,0.3750,0.0625,0.5500,2,8
2025-12-04T19:23:16.142779,REQ_25,0.3333,0.0625,0.4889,3,10
2025-12-04T19:23:16.143783,REQ_25,0.4167,0.0625,0.6111,3,12
2025-12-04T19:23:16.189828,REQ_38,0.3125,0.0625,0.2167,1,3
2025-12-04T19:23:16.189828,REQ_38,0.3125,0.0625,0.2167,2,4
2025-12-04T19:23:16.190806,REQ_38,0.3125,0.0625,0.2167,3,7
2025-12-04T19:23:16.190806,REQ_38,0.4167,0.0625,0.2889,3,8
2025-12-04T19:23:16.190806,REQ_38,0.5208,0.0625,0.3611,3,10
2025-12-04T19:23:16.201580,REQ_42,0.3625,0.0875,0.4833,1,4
2025-12-04T19:23:16.202559,REQ_42,0.3625,0.0875,0.4833,2,5
2025-12-04T19:23:16.202559,REQ_42,0.3625,0.0875,0.4833,3,8
2025-12-04T19:23:16.202559,REQ_42,0.3625,0.0875,0.4833,4,9
2025-12-04T19:23:16.202559,REQ_42,0.3625,0.0875,0.4833,5,10
2025-12-04T19:23:16.226621,REQ_48,0.4625,0.1000,0.3667,1,4
2025-12-04T19:23:16.226621,REQ_48,0.4625,0.1000,0.3667,2,5
2025-12-04T19:23:16.227595,REQ_48,0.4625,0.1000,0.3667,3,6
2025-12-04T19:23:16.227595,REQ_48,0.4625,0.1000,0.3667,4,9
2025-12-04T19:23:16.227595,REQ_48,0.4625,0.1000,0.3667,5,14
2025-12-04T19:23:16.251601,REQ_51,0.2500,0.0500,0.2333,1,3
2025-12-04T19:23:16.251601,REQ_51,0.2500,0.0500,0.2333,2,4
2025-12-04T19:23:16.252577,REQ_51,0.2500,0.0500,0.2333,3,7
2025-12-04T19:23:16.252577,REQ_51,0.2500,0.0500,0.2333,4,8
2025-12-04T19:23:16.252577,REQ_51,0.3125,0.0500,0.2917,4,10
2025-12-04T19:23:16.773844,REQ_55,0.2750,0.0625,0.2833,1,4
2025-12-04T19:23:16.774826,REQ_55,0.2750,0.0625,0.2833,2,6
2025-12-04T19:23:16.774826,REQ_55,0.4125,0.0625,0.4250,2,9
2025-12-04T19:23:16.774826,REQ_55,0.5500,0.0625,0.5667,2,10
2025-12-04T19:23:17.026910,REQ_55,0.6875,0.0625,0.7083,2,11
2025-12-04T19:23:17.297966,REQ_141,0.2500,0.0500,0.1667,1,5
2025-12-04T19:23:17.297966,REQ_141,0.5000,0.0500,0.3333,1,6
2025-12-04T19:23:17.297966,REQ_141,0.7500,0.0500,0.5000,1,7
2025-12-04T19:23:17.555664,REQ_141,0.5000,0.0500,0.3333,2,10
2025-12-04T19:23:17.555664,REQ_141,0.6250,0.0500,0.4167,2,11
2025-12-04T19:23:17.652850,REQ_170,0.2875,0.0625,0.2333,1,5
2025-12-04T19:23:17.912913,REQ_170,0.5750,0.0625,0.4667,1,6
2025-12-04T19:23:17.912913,REQ_170,0.8625,0.0625,0.7000,1,7
2025-12-04T19:23:17.912913,REQ_170,0.5750,0.0625,0.4667,2,10
2025-12-04T19:23:17.913916,REQ_170,0.4792,0.0625,0.3889,3,11
2025-12-04T19:23:18.250752,REQ_196,0.3375,0.0625,0.2333,1,5
2025-12-04T19:23:18.250752,REQ_196,0.6750,0.0625,0.4667,1,6
2025-12-04T19:23:18.507703,REQ_196,1.0125,0.0625,0.7000,1,9
2025-12-04T19:23:18.508679,REQ_196,0.6750,0.0625,0.4667,2,10
2025-12-04T19:23:18.508679,REQ_196,0.5625,0.0625,0.3889,3,11
2025-12-04T19:23:18.532707,REQ_205,0.2125,0.0500,0.3000,1,6
2025-12-04T19:23:18.532707,REQ_205,0.4250,0.0500,0.6000,1,7
2025-12-04T19:23:18.533709,REQ_205,0.6375,0.0500,0.9000,1,8
2025-12-04T19:23:18.533709,REQ_205,0.8500,0.0500,1.2000,1,12
2025-12-04T19:23:18.781730,REQ_205,0.5312,0.0500,0.7500,2,13
2025-12-04T19:23:18.839597,REQ_217,0.2625,0.0500,0.2833,1,4
2025-12-04T19:23:19.089885,REQ_217,0.5250,0.0500,0.5667,1,5
2025-12-04T19:23:19.090861,REQ_217,0.7875,0.0500,0.8500,1,8
2025-12-04T19:23:19.090861,REQ_217,0.5250,0.0500,0.5667,2,9
2025-12-04T19:23:19.147783,REQ_229,0.2250,0.0500,0.1500,1,6
2025-12-04T19:23:19.429725,REQ_229,0.4500,0.0500,0.3000,1,7
2025-12-04T19:23:19.466114,REQ_229,0.3375,0.0500,0.2250,2,9
2025-12-04T19:23:19.500981,REQ_229,0.4500,0.0500,0.3000,2,12
2025-12-04T19:23:19.537854,REQ_229,0.3750,0.0500,0.2500,3,12
2025-12-04T19:23:19.821681,REQ_233,0.4250,0.0625,0.1167,1,4
2025-12-04T19:23:19.856987,REQ_233,0.4250,0.0625,0.1167,2,5
2025-12-04T19:23:19.892739,REQ_233,0.6375,0.0625,0.1750,2,8
2025-12-04T19:23:19.927689,REQ_233,0.5667,0.0625,0.1556,3,11
2025-12-04T19:23:20.211799,REQ_233,0.5312,0.0625,0.1458,4,12
2025-12-04T19:23:20.247148,REQ_236,0.3375,0.0875,0.5167,1,5
2025-12-04T19:23:20.281920,REQ_236,0.6750,0.0875,1.0333,1,6
2025-12-04T19:23:20.317703,REQ_236,1.0125,0.0875,1.5500,1,7
2025-12-04T19:23:20.610998,REQ_236,0.6750,0.0875,1.0333,2,8
2025-12-04T19:23:20.645840,REQ_236,0.8438,0.0875,1.2917,2,11
2025-12-04T19:23:20.681594,REQ_241,0.4000,0.1000,0.6000,1,4
2025-12-04T19:23:20.716904,REQ_241,0.4000,0.1000,0.6000,2,7
2025-12-04T19:23:20.999856,REQ_241,0.4000,0.1000,0.6000,3,11
