Metric,Value
Total Requests,43
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,133.1395
Avg BW per Deployment,72.2791
Avg MEM per Deployment,98.7209
""
Avg CPU Utilization,40.40%
Avg BW Utilization,7.33%
Avg MEM Utilization,40.00%
Std CPU Utilization,0.1443
Std BW Utilization,0.0176
Std MEM Utilization,0.1761
""
Avg Hops per Destination,2.48
Avg Deployment Time (s),0.3636
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,43
  smart_greedy,1
