Metric,Value
Total Requests,24
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,126.6667
Avg BW per Deployment,69.2500
Avg MEM per Deployment,93.7500
""
Avg CPU Utilization,0.40%
Avg BW Utilization,0.57%
Avg MEM Utilization,0.39%
Std CPU Utilization,0.0015
Std BW Utilization,0.0013
Std MEM Utilization,0.0016
""
Avg Hops per Destination,2.47
Avg Deployment Time (s),0.2750
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  minimal,9
