Metric,Value
Total Requests,78
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,137.3718
Avg BW per Deployment,80.2692
Avg MEM per Deployment,103.2051
""
Avg CPU Utilization,44.50%
Avg BW Utilization,7.61%
Avg MEM Utilization,46.54%
Std CPU Utilization,0.2325
Std BW Utilization,0.0176
Std MEM Utilization,0.3642
""
Avg Hops per Destination,2.63
Avg Deployment Time (s),0.3473
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,112
  smart_greedy,14
