Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.3849
Avg BW per Deployment,77.1356
Avg MEM per Deployment,99.8265
""
Avg CPU Utilization,53.07%
Avg BW Utilization,7.58%
Avg MEM Utilization,51.59%
Std CPU Utilization,0.3491
Std BW Utilization,0.0179
Std MEM Utilization,0.4072
""
Avg Hops per Destination,2.56
Avg Deployment Time (s),0.4199
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,582
  smart_greedy,212
