Metric,Value
Total Requests,382
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,138.7304
Avg BW per Deployment,76.6937
Avg MEM per Deployment,99.6597
""
Avg CPU Utilization,54.62%
Avg BW Utilization,7.53%
Avg MEM Utilization,53.66%
Std CPU Utilization,0.3634
Std BW Utilization,0.0178
Std MEM Utilization,0.4117
""
Avg Hops per Destination,2.55
Avg Deployment Time (s),0.4337
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,694
  smart_greedy,279
