Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,27,100.00%,3895.0000,1848.0000
100,9,100.00%,1220.0000,656.0000
150,21,100.00%,2715.0000,1469.0000
200,50,100.00%,6980.0000,3317.0000
250,50,100.00%,6895.0000,3531.0000
300,50,100.00%,6780.0000,3621.0000
350,50,100.00%,7245.0000,3393.0000
400,50,100.00%,6810.0000,3338.0000
