Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.3849
Avg BW per Deployment,84.8044
Avg MEM per Deployment,99.8265
""
Avg CPU Utilization,45.92%
Avg BW Utilization,7.58%
Avg MEM Utilization,44.45%
Std CPU Utilization,0.2170
Std BW Utilization,0.0179
Std MEM Utilization,0.2462
""
Avg Hops per Destination,2.79
Avg Deployment Time (s),0.5484
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,559
  smart_greedy,86
