Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.3849
Avg BW per Deployment,78.5741
Avg MEM per Deployment,99.8265
""
Avg CPU Utilization,51.95%
Avg BW Utilization,7.58%
Avg MEM Utilization,51.38%
Std CPU Utilization,0.3177
Std BW Utilization,0.0179
Std MEM Utilization,0.4023
""
Avg Hops per Destination,2.58
Avg Deployment Time (s),0.4510
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,620
  smart_greedy,182
