Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,34,100.00%,4475.0000,2604.0000
100,50,100.00%,7105.0000,4299.0000
150,49,100.00%,6830.0000,3758.0000
200,50,100.00%,6980.0000,3742.0000
250,50,100.00%,6895.0000,4086.0000
300,50,100.00%,6780.0000,3885.0000
350,34,100.00%,5105.0000,2545.0000
