Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,35,100.00%,4620.0000,2623.0000
100,50,100.00%,7105.0000,4121.0000
150,49,100.00%,6830.0000,3639.0000
200,50,100.00%,6980.0000,3614.0000
250,50,100.00%,6895.0000,3942.0000
300,50,100.00%,6780.0000,4006.0000
350,33,100.00%,4975.0000,2507.0000
