Metric,Value
Total Requests,34
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,132.7941
Avg BW per Deployment,73.1176
Avg MEM per Deployment,100.2941
""
Avg CPU Utilization,38.09%
Avg BW Utilization,7.35%
Avg MEM Utilization,39.35%
Std CPU Utilization,0.1277
Std BW Utilization,0.0179
Std MEM Utilization,0.1684
""
Avg Hops per Destination,2.51
Avg Deployment Time (s),0.3088
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,26
  smart_greedy,2
