Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,35,100.00%,4620.0000,2438.0000
100,50,100.00%,7105.0000,4156.0000
150,1,100.00%,115.0000,105.0000
