Metric,Value
Total Requests,157
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,136.2739
Avg BW per Deployment,64.5796
Avg MEM per Deployment,96.3376
""
Avg CPU Utilization,44.70%
Avg BW Utilization,7.29%
Avg MEM Utilization,42.82%
Std CPU Utilization,0.2473
Std BW Utilization,0.0176
Std MEM Utilization,0.2702
""
Avg Hops per Destination,2.24
Avg Deployment Time (s),0.3460
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,114
  smart_greedy,262
