Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,27,100.00%,3895.0000,1848.0000
100,31,100.00%,4350.0000,2538.0000
150,49,100.00%,6830.0000,3524.0000
200,50,100.00%,6980.0000,3775.0000
250,48,100.00%,6695.0000,3554.0000
