Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,39,100.00%,5180.0000,2784.0000
100,50,100.00%,7105.0000,3858.0000
150,49,100.00%,6830.0000,3659.0000
200,50,100.00%,6980.0000,3758.0000
250,50,100.00%,6895.0000,4043.0000
300,50,100.00%,6780.0000,3927.0000
350,30,100.00%,4455.0000,2201.0000
