Metric,Value
Total Requests,10
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,122.0000
Avg BW per Deployment,69.4000
Avg MEM per Deployment,99.5000
""
Avg CPU Utilization,33.01%
Avg BW Utilization,7.00%
Avg MEM Utilization,35.92%
Std CPU Utilization,0.1002
Std BW Utilization,0.0179
Std MEM Utilization,0.1552
""
Avg Hops per Destination,2.52
Avg Deployment Time (s),0.3140
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,11
