Metric,Value
Total Requests,318
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.0723
Avg BW per Deployment,76.1950
Avg MEM per Deployment,99.3396
""
Avg CPU Utilization,33.95%
Avg BW Utilization,7.57%
Avg MEM Utilization,32.94%
Std CPU Utilization,0.1350
Std BW Utilization,0.0178
Std MEM Utilization,0.1642
""
Avg Hops per Destination,2.52
Avg Deployment Time (s),0.4754
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,1
  smart_greedy,673
