Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,35,100.00%,4620.0000,2533.0000
100,50,100.00%,7105.0000,4013.0000
150,49,100.00%,6830.0000,3537.0000
200,50,100.00%,6980.0000,4015.0000
250,50,100.00%,6895.0000,3825.0000
300,50,100.00%,6780.0000,4089.0000
350,50,100.00%,7245.0000,3847.0000
400,48,100.00%,6540.0000,3438.0000
