time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.4146
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0305
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0191
10,REQ_32,VNF_3->VNF_8->VNF_5,5,5,0,115.0000,91.0000,150.0000,115.0000,91.0000,150.0000,3,13,0.4792,0.0875,0.8333,13,2.60,True,False,False,,,,0.0172
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0181
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0201
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,80.0000,110.0000,185.0000,80.0000,110.0000,4,10,0.5781,0.1000,0.4583,10,2.00,True,False,False,,,,0.5378
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,3,10,0.4167,0.0500,0.3889,10,2.00,True,False,False,,,,0.2738
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2611
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,44.0000,90.0000,65.0000,44.0000,90.0000,3,11,0.2708,0.0500,0.5000,11,2.20,True,False,False,,,,0.2661
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,56.0000,55.0000,105.0000,56.0000,55.0000,4,14,0.3281,0.0500,0.2292,14,2.80,True,False,False,,,,0.2547
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,70.0000,80.0000,130.0000,70.0000,80.0000,4,14,0.4062,0.0625,0.3333,14,2.80,True,False,False,,,,0.2632
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,185.0000,80.0000,95.0000,185.0000,80.0000,95.0000,4,10,0.5781,0.1000,0.3958,10,2.00,True,False,False,,,,0.2548
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,180.0000,60.0000,90.0000,180.0000,60.0000,90.0000,4,10,0.5625,0.0750,0.3750,10,2.00,True,False,False,,,,0.2522
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,120.0000,60.0000,80.0000,120.0000,60.0000,80.0000,4,12,0.3750,0.0625,0.3333,12,2.40,True,False,False,,,,0.2482
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,115.0000,55.0000,70.0000,115.0000,55.0000,70.0000,4,11,0.3594,0.0625,0.2917,11,2.20,True,False,False,,,,0.2556
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,100.0000,70.0000,190.0000,100.0000,70.0000,190.0000,4,10,0.3125,0.0875,0.7917,10,2.00,True,False,False,,,,0.2602
31,REQ_138,VNF_4->VNF_1->VNF_6,5,5,0,165.0000,70.0000,70.0000,165.0000,70.0000,70.0000,4,10,0.5156,0.0875,0.2917,10,2.00,True,False,False,,,,0.2621
33,REQ_146,VNF_7->VNF_1->VNF_4,5,5,0,195.0000,77.0000,70.0000,195.0000,77.0000,70.0000,3,11,0.8125,0.0875,0.3889,11,2.20,True,False,False,,,,0.2545
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,90.0000,40.0000,80.0000,90.0000,40.0000,80.0000,4,10,0.2812,0.0500,0.3333,10,2.00,True,False,False,,,,0.2517
37,REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,185.0000,88.0000,125.0000,185.0000,88.0000,125.0000,4,11,0.5781,0.1000,0.5208,11,2.20,True,False,False,,,,0.2502
39,REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,180.0000,80.0000,135.0000,180.0000,80.0000,135.0000,3,10,0.7500,0.1000,0.7500,10,2.00,True,False,False,,,,0.2556
40,REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,220.0000,96.0000,90.0000,220.0000,96.0000,90.0000,5,12,0.5500,0.1000,0.3000,12,2.40,True,False,False,,,,0.2522
41,REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,220.0000,96.0000,120.0000,220.0000,96.0000,120.0000,4,12,0.6875,0.1000,0.5000,12,2.40,True,False,False,,,,0.2572
42,REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,180.0000,84.0000,120.0000,180.0000,84.0000,120.0000,5,12,0.4500,0.0875,0.4000,12,2.40,True,False,False,,,,0.2568
43,REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,160.0000,72.0000,95.0000,160.0000,72.0000,95.0000,4,12,0.5000,0.0750,0.3958,12,2.40,True,False,False,,,,0.2576
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,65.0000,70.0000,135.0000,65.0000,70.0000,3,13,0.5625,0.0625,0.3889,13,2.60,True,False,False,,,,0.2539
59,REQ_254,VNF_5->VNF_1->VNF_3,5,5,0,70.0000,44.0000,80.0000,70.0000,44.0000,80.0000,4,11,0.2188,0.0500,0.3333,11,2.20,True,False,False,,,,0.2753
60,REQ_258,VNF_5->VNF_8->VNF_7,5,5,0,190.0000,98.0000,105.0000,190.0000,98.0000,105.0000,4,14,0.5938,0.0875,0.4375,14,2.80,True,False,False,,,,0.2536
62,REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,160.0000,84.0000,95.0000,160.0000,84.0000,95.0000,4,14,0.5000,0.0750,0.3958,14,2.80,True,False,False,,,,0.2623
66,REQ_290,VNF_5->VNF_6->VNF_2,5,5,0,85.0000,52.0000,85.0000,85.0000,52.0000,85.0000,3,13,0.3542,0.0500,0.4722,13,2.60,True,False,False,,,,0.2630
69,REQ_303,VNF_7->VNF_6->VNF_3,5,5,0,180.0000,91.0000,120.0000,180.0000,91.0000,120.0000,4,13,0.5625,0.0875,0.5000,13,2.60,True,False,False,,,,0.2531
77,REQ_339,VNF_6->VNF_7->VNF_4,5,5,0,105.0000,36.0000,50.0000,105.0000,36.0000,50.0000,3,9,0.4375,0.0500,0.2778,9,1.80,True,False,False,,,,0.2590
82,REQ_361,VNF_6->VNF_7->VNF_2,5,5,0,120.0000,48.0000,65.0000,120.0000,44.0000,65.0000,5,11,0.3000,0.0500,0.2167,12,2.40,True,False,True,resource_aware,,,0.2655
90,REQ_396,VNF_4->VNF_7->VNF_6,5,5,0,190.0000,105.0000,85.0000,190.0000,105.0000,85.0000,5,15,0.4750,0.0875,0.2833,15,3.00,True,False,False,,,,0.2569
93,REQ_407,VNF_3->VNF_4->VNF_1,5,5,0,120.0000,98.0000,115.0000,120.0000,98.0000,115.0000,3,14,0.5000,0.0875,0.6389,14,2.80,True,False,False,,,,0.2542
101,REQ_448,VNF_6->VNF_3->VNF_4,5,5,0,115.0000,70.0000,130.0000,115.0000,70.0000,130.0000,3,10,0.4792,0.0875,0.7222,10,2.00,True,False,False,,,,0.2579
103,REQ_460,VNF_7->VNF_2->VNF_8,5,5,0,125.0000,68.0000,60.0000,125.0000,68.0000,60.0000,4,17,0.3906,0.0500,0.2500,17,3.40,True,False,False,,,,0.2663
109,REQ_486,VNF_4->VNF_2->VNF_3,5,5,0,55.0000,40.0000,95.0000,55.0000,40.0000,95.0000,4,10,0.1719,0.0500,0.3958,10,2.00,True,False,False,,,,0.2531
112,REQ_494,VNF_8->VNF_5->VNF_4,5,5,0,125.0000,98.0000,115.0000,125.0000,98.0000,115.0000,5,14,0.3125,0.0875,0.3833,14,2.80,True,False,False,,,,0.2542
116,REQ_512,VNF_3->VNF_4->VNF_7,5,5,0,80.0000,44.0000,75.0000,80.0000,44.0000,75.0000,4,11,0.2500,0.0500,0.3125,11,2.20,True,False,False,,,,0.2518
124,REQ_546,VNF_2->VNF_4->VNF_1,5,5,0,130.0000,66.0000,90.0000,130.0000,66.0000,90.0000,4,11,0.4062,0.0750,0.3750,11,2.20,True,False,False,,,,0.2575
136,REQ_604,VNF_6->VNF_7->VNF_3,5,5,0,155.0000,78.0000,100.0000,155.0000,48.0000,100.0000,3,8,0.6458,0.0750,0.5556,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.7501
137,REQ_606,VNF_7->VNF_5->VNF_1,5,5,0,165.0000,78.0000,85.0000,165.0000,66.0000,85.0000,3,11,0.6875,0.0750,0.4722,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4388
138,REQ_609,VNF_8->VNF_4->VNF_3,5,5,0,100.0000,96.0000,110.0000,100.0000,78.0000,110.0000,4,13,0.3125,0.0750,0.4583,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4481
139,REQ_616,VNF_3->VNF_6->VNF_2,5,5,0,120.0000,114.0000,130.0000,120.0000,96.0000,130.0000,3,16,0.5000,0.0750,0.7222,19,3.80,True,False,True,resource_aware,,,0.4320
140,REQ_622,VNF_8->VNF_6->VNF_1,5,5,0,200.0000,98.0000,55.0000,200.0000,77.0000,55.0000,3,11,0.8333,0.0875,0.3056,14,2.80,True,False,True,"resource_aware,smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4344
141,REQ_629,VNF_1->VNF_5->VNF_6,5,5,0,120.0000,60.0000,70.0000,120.0000,60.0000,70.0000,4,12,0.3750,0.0625,0.2917,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4391
142,REQ_632,VNF_5->VNF_6->VNF_1,5,5,0,140.0000,66.0000,85.0000,140.0000,60.0000,85.0000,5,10,0.3500,0.0750,0.2833,11,2.20,True,False,True,"smart_greedy,smart_greedy,smart_greedy,resource_aware,resource_aware",,,0.4409
143,REQ_639,VNF_4->VNF_7->VNF_1,5,5,0,140.0000,70.0000,45.0000,140.0000,60.0000,45.0000,5,12,0.3500,0.0625,0.1500,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4410
144,REQ_642,VNF_4->VNF_7->VNF_6,5,5,0,135.0000,70.0000,60.0000,135.0000,60.0000,60.0000,3,12,0.5625,0.0625,0.3333,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4361
145,REQ_646,VNF_1->VNF_6->VNF_5,5,5,0,95.0000,44.0000,55.0000,95.0000,40.0000,55.0000,3,10,0.3958,0.0500,0.3056,11,2.20,True,False,True,resource_aware,,,0.4442
146,REQ_651,VNF_7->VNF_4->VNF_6,5,5,0,135.0000,60.0000,60.0000,135.0000,50.0000,60.0000,4,10,0.4219,0.0625,0.2500,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4399
147,REQ_656,VNF_8->VNF_4->VNF_1,5,5,0,120.0000,60.0000,45.0000,120.0000,55.0000,45.0000,6,11,0.2500,0.0625,0.1250,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4370
148,REQ_665,VNF_8->VNF_6->VNF_2,5,5,0,130.0000,55.0000,80.0000,130.0000,45.0000,80.0000,2,9,0.8125,0.0625,0.6667,11,2.20,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4430
149,REQ_669,VNF_2->VNF_5->VNF_7,5,5,0,205.0000,56.0000,165.0000,205.0000,56.0000,165.0000,5,7,0.5125,0.1000,0.5500,7,1.40,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4387
150,REQ_671,VNF_4->VNF_3->VNF_7,5,5,0,125.0000,78.0000,110.0000,125.0000,60.0000,110.0000,5,10,0.3125,0.0750,0.3667,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4404
151,REQ_674,VNF_4->VNF_1->VNF_7,5,5,0,195.0000,49.0000,70.0000,195.0000,49.0000,70.0000,5,7,0.4875,0.0875,0.2333,7,1.40,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4440
