timestamp,request_id,cpu_utilization,bw_utilization,mem_utilization,num_used_nodes,num_used_links
2025-12-04T19:46:37.398602,REQ_1,0.0010,0.0070,0.0017,3,4
2025-12-04T19:46:37.748843,REQ_1,0.0019,0.0070,0.0034,3,5
2025-12-04T19:46:37.748843,REQ_1,0.0029,0.0070,0.0052,3,6
2025-12-04T19:46:37.748843,REQ_1,0.0029,0.0070,0.0052,4,9
2025-12-04T19:46:37.749821,REQ_1,0.0036,0.0070,0.0065,4,10
2025-12-04T19:46:37.797534,REQ_8,0.0011,0.0070,0.0017,3,4
2025-12-04T19:46:37.798509,REQ_8,0.0022,0.0070,0.0034,3,5
2025-12-04T19:46:37.798509,REQ_8,0.0025,0.0070,0.0039,4,8
2025-12-04T19:46:37.798509,REQ_8,0.0034,0.0070,0.0052,4,9
2025-12-04T19:46:37.799487,REQ_8,0.0042,0.0070,0.0065,4,10
2025-12-04T19:46:37.883908,REQ_22,0.0011,0.0050,0.0007,3,5
2025-12-04T19:46:37.884885,REQ_22,0.0022,0.0050,0.0014,3,6
2025-12-04T19:46:37.884885,REQ_22,0.0034,0.0050,0.0022,3,7
2025-12-04T19:46:37.885863,REQ_22,0.0045,0.0050,0.0029,3,8
2025-12-04T19:46:37.885863,REQ_22,0.0056,0.0050,0.0036,3,10
2025-12-04T19:46:37.918860,REQ_25,0.0008,0.0050,0.0012,3,5
2025-12-04T19:46:37.919839,REQ_25,0.0017,0.0050,0.0024,3,6
2025-12-04T19:46:37.919839,REQ_25,0.0025,0.0050,0.0037,3,9
2025-12-04T19:46:37.919839,REQ_25,0.0033,0.0050,0.0049,3,11
2025-12-04T19:46:37.920815,REQ_25,0.0021,0.0050,0.0031,6,12
2025-12-04T19:46:37.937003,REQ_27,0.0007,0.0050,0.0013,3,3
2025-12-04T19:46:37.937003,REQ_27,0.0013,0.0050,0.0026,3,4
2025-12-04T19:46:37.937981,REQ_27,0.0020,0.0050,0.0038,3,7
2025-12-04T19:46:37.937981,REQ_27,0.0020,0.0050,0.0038,4,8
2025-12-04T19:46:37.937981,REQ_27,0.0025,0.0050,0.0048,4,9
2025-12-04T19:46:37.956596,REQ_32,0.0010,0.0070,0.0017,3,2
2025-12-04T19:46:37.956596,REQ_32,0.0019,0.0070,0.0033,3,4
2025-12-04T19:46:37.957576,REQ_32,0.0029,0.0070,0.0050,3,5
2025-12-04T19:46:37.957576,REQ_32,0.0029,0.0070,0.0050,4,8
2025-12-04T19:46:37.957576,REQ_32,0.0036,0.0070,0.0063,4,13
2025-12-04T19:46:38.002730,REQ_42,0.0012,0.0070,0.0016,3,4
2025-12-04T19:46:38.002730,REQ_42,0.0024,0.0070,0.0032,3,5
2025-12-04T19:46:38.003710,REQ_42,0.0036,0.0070,0.0048,3,6
2025-12-04T19:46:38.507553,REQ_42,0.0048,0.0070,0.0064,3,9
2025-12-04T19:46:38.508530,REQ_42,0.0060,0.0070,0.0081,3,14
2025-12-04T19:46:38.527714,REQ_48,0.0015,0.0080,0.0012,3,3
2025-12-04T19:46:38.528689,REQ_48,0.0031,0.0080,0.0024,3,6
2025-12-04T19:46:38.776854,REQ_48,0.0046,0.0080,0.0037,3,7
2025-12-04T19:46:38.777832,REQ_48,0.0062,0.0080,0.0049,3,8
2025-12-04T19:46:38.777832,REQ_48,0.0058,0.0080,0.0046,4,10
2025-12-04T19:46:38.795974,REQ_51,0.0008,0.0040,0.0008,3,2
2025-12-04T19:46:39.045665,REQ_51,0.0017,0.0040,0.0016,3,4
2025-12-04T19:46:39.046639,REQ_51,0.0025,0.0040,0.0023,3,5
2025-12-04T19:46:39.046639,REQ_51,0.0025,0.0040,0.0023,4,8
2025-12-04T19:46:39.046639,REQ_51,0.0031,0.0040,0.0029,4,13
2025-12-04T19:46:39.312019,REQ_55,0.0009,0.0050,0.0009,3,3
2025-12-04T19:46:39.313065,REQ_55,0.0018,0.0050,0.0019,3,4
2025-12-04T19:46:39.313065,REQ_55,0.0027,0.0050,0.0028,3,7
2025-12-04T19:46:39.313065,REQ_55,0.0027,0.0050,0.0028,4,8
2025-12-04T19:46:39.564072,REQ_55,0.0034,0.0050,0.0035,4,13
2025-12-04T19:46:39.583667,REQ_61,0.0005,0.0040,0.0010,3,5
2025-12-04T19:46:39.584645,REQ_61,0.0011,0.0040,0.0020,3,6
2025-12-04T19:46:39.584645,REQ_61,0.0016,0.0040,0.0030,3,8
2025-12-04T19:46:39.833707,REQ_61,0.0022,0.0040,0.0040,3,9
2025-12-04T19:46:39.833707,REQ_61,0.0027,0.0040,0.0050,3,11
2025-12-04T19:46:39.852828,REQ_66,0.0009,0.0040,0.0006,3,3
2025-12-04T19:46:39.852828,REQ_66,0.0013,0.0040,0.0009,4,6
2025-12-04T19:46:40.101939,REQ_66,0.0020,0.0040,0.0014,4,8
2025-12-04T19:46:40.101939,REQ_66,0.0026,0.0040,0.0018,4,9
2025-12-04T19:46:40.102944,REQ_66,0.0033,0.0040,0.0023,4,14
2025-12-04T19:46:40.183051,REQ_85,0.0011,0.0050,0.0009,3,4
2025-12-04T19:46:40.184034,REQ_85,0.0022,0.0050,0.0018,3,5
2025-12-04T19:46:40.184034,REQ_85,0.0032,0.0050,0.0027,3,6
2025-12-04T19:46:40.432791,REQ_85,0.0043,0.0050,0.0036,3,11
2025-12-04T19:46:40.432791,REQ_85,0.0054,0.0050,0.0044,3,14
2025-12-04T19:46:40.450013,REQ_89,0.0010,0.0060,0.0014,3,2
2025-12-04T19:46:40.450990,REQ_89,0.0021,0.0060,0.0028,3,4
2025-12-04T19:46:40.702865,REQ_89,0.0031,0.0060,0.0042,3,5
2025-12-04T19:46:40.702865,REQ_89,0.0031,0.0060,0.0042,4,8
2025-12-04T19:46:40.702865,REQ_89,0.0039,0.0060,0.0052,4,13
2025-12-04T19:46:40.760671,REQ_104,0.0013,0.0060,0.0008,3,5
2025-12-04T19:46:40.760671,REQ_104,0.0027,0.0060,0.0016,3,6
2025-12-04T19:46:40.761648,REQ_104,0.0040,0.0060,0.0023,3,7
2025-12-04T19:46:41.009866,REQ_104,0.0053,0.0060,0.0031,3,9
2025-12-04T19:46:41.010844,REQ_104,0.0067,0.0060,0.0039,3,11
2025-12-04T19:46:41.029021,REQ_111,0.0015,0.0080,0.0011,3,2
2025-12-04T19:46:41.029998,REQ_111,0.0031,0.0080,0.0021,3,3
2025-12-04T19:46:41.276654,REQ_111,0.0046,0.0080,0.0032,3,7
2025-12-04T19:46:41.276654,REQ_111,0.0046,0.0080,0.0032,4,8
2025-12-04T19:46:41.277632,REQ_111,0.0058,0.0080,0.0040,4,13
2025-12-04T19:46:41.318351,REQ_118,0.0014,0.0060,0.0007,3,2
2025-12-04T19:46:41.319329,REQ_118,0.0027,0.0060,0.0013,3,3
2025-12-04T19:46:41.319329,REQ_118,0.0041,0.0060,0.0020,3,7
2025-12-04T19:46:41.319329,REQ_118,0.0041,0.0060,0.0020,4,8
2025-12-04T19:46:41.569861,REQ_118,0.0052,0.0060,0.0025,4,9
2025-12-04T19:46:41.588008,REQ_123,0.0010,0.0050,0.0009,3,2
2025-12-04T19:46:41.588983,REQ_123,0.0020,0.0050,0.0018,3,4
2025-12-04T19:46:41.588983,REQ_123,0.0030,0.0050,0.0027,3,5
2025-12-04T19:46:41.835741,REQ_123,0.0030,0.0050,0.0027,4,9
2025-12-04T19:46:41.835741,REQ_123,0.0037,0.0050,0.0033,4,14
2025-12-04T19:46:41.856810,REQ_127,0.0010,0.0050,0.0008,3,3
2025-12-04T19:46:41.913857,REQ_138,0.0014,0.0070,0.0008,3,3
2025-12-04T19:46:42.205918,REQ_138,0.0027,0.0070,0.0016,3,4
2025-12-04T19:46:42.242745,REQ_138,0.0041,0.0070,0.0023,3,7
2025-12-04T19:46:42.278048,REQ_138,0.0041,0.0070,0.0023,4,8
2025-12-04T19:46:42.314398,REQ_138,0.0041,0.0070,0.0023,5,13
2025-12-04T19:46:42.599963,REQ_141,0.0013,0.0040,0.0008,2,2
2025-12-04T19:46:42.634814,REQ_141,0.0025,0.0040,0.0017,2,3
2025-12-04T19:46:42.670579,REQ_141,0.0025,0.0040,0.0017,3,7
2025-12-04T19:46:42.705915,REQ_141,0.0020,0.0040,0.0013,5,9
2025-12-04T19:46:42.991593,REQ_141,0.0021,0.0040,0.0014,6,10
2025-12-04T19:46:43.027935,REQ_146,0.0016,0.0070,0.0008,3,5
2025-12-04T19:46:43.063740,REQ_146,0.0032,0.0070,0.0016,3,6
2025-12-04T19:46:43.099997,REQ_146,0.0049,0.0070,0.0023,3,8
2025-12-04T19:46:43.383165,REQ_146,0.0065,0.0070,0.0031,3,10
2025-12-04T19:46:43.419031,REQ_146,0.0061,0.0070,0.0029,4,12
2025-12-04T19:46:43.455997,REQ_150,0.0007,0.0050,0.0011,3,6
2025-12-04T19:46:43.491871,REQ_150,0.0010,0.0050,0.0016,4,9
2025-12-04T19:46:43.777959,REQ_150,0.0015,0.0050,0.0024,4,10
2025-12-04T19:46:43.814743,REQ_150,0.0020,0.0050,0.0032,4,12
2025-12-04T19:46:43.850067,REQ_150,0.0020,0.0050,0.0032,5,14
2025-12-04T19:46:43.886843,REQ_156,0.0011,0.0050,0.0008,3,4
2025-12-04T19:46:44.177809,REQ_156,0.0022,0.0050,0.0016,3,10
2025-12-04T19:46:44.213116,REQ_156,0.0017,0.0050,0.0012,6,13
2025-12-04T19:46:44.248920,REQ_156,0.0017,0.0050,0.0012,8,14
2025-12-04T19:46:44.284725,REQ_156,0.0021,0.0050,0.0015,8,15
2025-12-04T19:46:44.579119,REQ_159,0.0008,0.0040,0.0009,3,5
2025-12-04T19:46:44.619368,REQ_159,0.0015,0.0040,0.0018,3,7
2025-12-04T19:46:44.656134,REQ_159,0.0017,0.0040,0.0020,4,12
2025-12-04T19:46:44.693888,REQ_159,0.0018,0.0040,0.0021,5,14
2025-12-04T19:46:44.986730,REQ_159,0.0022,0.0040,0.0027,5,16
2025-12-04T19:46:45.023800,REQ_165,0.0015,0.0080,0.0014,3,3
2025-12-04T19:46:45.059086,REQ_165,0.0031,0.0080,0.0028,3,6
2025-12-04T19:46:45.094900,REQ_165,0.0035,0.0080,0.0031,4,7
