time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.4091
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0329
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0196
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,80.0000,65.0000,125.0000,75.0000,65.0000,5,15,0.3125,0.0625,0.2167,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.2598
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,98.0000,145.0000,145.0000,84.0000,145.0000,6,12,0.3021,0.0875,0.4028,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.1971
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,88.0000,110.0000,185.0000,88.0000,110.0000,7,11,0.3304,0.1000,0.2619,11,2.20,True,False,True,resource_aware,,,0.2021
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,56.0000,70.0000,100.0000,40.0000,70.0000,4,10,0.3125,0.0500,0.2917,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6910
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,75.0000,85.0000,110.0000,75.0000,85.0000,5,15,0.2750,0.0625,0.2833,15,3.00,True,False,True,resource_aware,,,0.4339
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,52.0000,90.0000,65.0000,52.0000,90.0000,5,13,0.1625,0.0500,0.3000,13,2.60,True,False,True,resource_aware,,,0.4485
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,48.0000,55.0000,105.0000,48.0000,55.0000,5,12,0.2625,0.0500,0.1833,12,2.40,True,False,True,resource_aware,,,0.4460
