Metric,Value
Total Requests,17
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,127.0588
Avg BW per Deployment,68.6471
Avg MEM per Deployment,100.0000
""
Avg CPU Utilization,40.82%
Avg BW Utilization,7.13%
Avg MEM Utilization,43.10%
Std CPU Utilization,0.1070
Std BW Utilization,0.0153
Std MEM Utilization,0.1810
""
Avg Hops per Destination,2.44
Avg Deployment Time (s),0.2937
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,18
