request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
REQ_1078,VNF_3->VNF_2->VNF_6,5,5,0,110.0000,48.0000,132.0000,12,2.40,True,False,False,,,,0.4853
REQ_1082,VNF_4->VNF_1->VNF_8,5,5,0,283.6667,128.0000,115.0000,16,3.20,True,False,True,"smart_greedy,resource_aware",,,0.5386
REQ_1087,VNF_4->VNF_3->VNF_8,5,5,0,260.6667,91.0000,283.3333,13,2.60,True,False,True,resource_aware,,,0.4901
REQ_1092,VNF_3->VNF_2->VNF_4,5,5,0,160.0000,144.0000,253.3333,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4932
REQ_1098,VNF_8->VNF_2->VNF_4,5,5,0,140.0000,75.0000,113.3333,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4899
REQ_1102,VNF_1->VNF_5->VNF_4,5,5,0,110.0000,102.0000,95.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4707
REQ_1110,VNF_5->VNF_6->VNF_7,5,5,0,168.0000,60.0000,96.0000,12,2.40,True,False,True,resource_aware,,,0.4695
REQ_1118,VNF_6->VNF_2->VNF_1,5,5,0,181.3333,108.0000,90.6667,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4899
REQ_1121,VNF_1->VNF_3->VNF_4,5,5,0,135.0000,104.0000,130.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4806
REQ_1127,VNF_2->VNF_8->VNF_5,5,5,0,260.6667,136.0000,253.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4731
REQ_1131,VNF_3->VNF_5->VNF_2,5,5,0,168.0000,120.0000,308.0000,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4779
REQ_1138,VNF_6->VNF_4->VNF_1,5,5,0,138.0000,52.0000,61.3333,13,2.60,True,False,True,resource_aware,,,0.4747
REQ_1142,VNF_2->VNF_5->VNF_4,5,5,0,145.6667,84.0000,207.0000,14,2.80,True,False,True,"smart_greedy,resource_aware",,,0.4818
REQ_1149,VNF_5->VNF_3->VNF_2,5,5,0,68.0000,64.0000,124.6667,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4714
REQ_1152,VNF_6->VNF_4->VNF_1,5,5,0,168.0000,102.0000,72.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4852
REQ_1158,VNF_5->VNF_4->VNF_2,5,5,0,91.0000,48.0000,126.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4771
REQ_1163,VNF_4->VNF_3->VNF_8,5,5,0,161.0000,119.0000,175.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4885
REQ_1166,VNF_4->VNF_8->VNF_3,5,5,0,91.0000,64.0000,98.0000,16,3.20,True,False,True,resource_aware,,,0.4761
REQ_1172,VNF_1->VNF_5->VNF_6,5,5,0,253.0000,105.0000,145.6667,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4716
REQ_1175,VNF_4->VNF_6->VNF_8,5,5,0,180.0000,84.0000,93.3333,14,2.80,True,False,True,resource_aware,,,0.5197
REQ_1187,VNF_3->VNF_1->VNF_6,5,5,0,217.0000,91.0000,147.0000,13,2.60,True,False,True,resource_aware,,,0.4671
REQ_1192,VNF_7->VNF_8->VNF_4,5,5,0,253.3333,126.0000,106.6667,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4719
REQ_1196,VNF_3->VNF_8->VNF_1,5,5,0,126.0000,48.0000,77.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.5492
REQ_1198,VNF_6->VNF_8->VNF_3,5,5,0,180.0000,98.0000,138.0000,14,2.80,True,False,True,resource_aware,,,0.5390
REQ_1209,VNF_1->VNF_4->VNF_5,5,5,0,161.3333,102.0000,139.3333,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4782
REQ_1216,VNF_5->VNF_6->VNF_4,5,5,0,150.0000,119.0000,144.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4921
REQ_1217,VNF_1->VNF_6->VNF_2,5,5,0,164.6667,80.0000,88.6667,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4839
REQ_1222,VNF_5->VNF_6->VNF_3,5,5,0,85.0000,65.0000,115.0000,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4744
REQ_1228,VNF_4->VNF_7->VNF_8,5,5,0,381.3333,96.0000,156.0000,12,2.40,True,False,True,"smart_greedy,resource_aware",,,0.4647
REQ_1232,VNF_4->VNF_1->VNF_8,5,5,0,209.6667,136.0000,85.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4561
REQ_1234,VNF_8->VNF_1->VNF_2,5,5,0,192.0000,102.0000,96.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4629
REQ_1238,VNF_2->VNF_3->VNF_7,5,5,0,128.0000,100.0000,117.3333,20,4.00,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4665
REQ_1245,VNF_6->VNF_2->VNF_3,5,5,0,80.0000,76.0000,96.0000,19,3.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4749
REQ_1249,VNF_4->VNF_8->VNF_3,5,5,0,135.0000,112.0000,145.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4642
REQ_1254,VNF_5->VNF_6->VNF_3,5,5,0,180.0000,112.0000,240.0000,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4712
REQ_1259,VNF_1->VNF_4->VNF_2,5,5,0,215.3333,112.0000,152.0000,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4730
REQ_1264,VNF_2->VNF_5->VNF_8,5,5,0,216.6667,78.0000,216.6667,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4643
REQ_1269,VNF_2->VNF_8->VNF_6,5,5,0,280.0000,120.0000,166.6667,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4678
REQ_1274,VNF_6->VNF_1->VNF_2,5,5,0,147.0000,56.0000,77.0000,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4665
REQ_1280,VNF_7->VNF_8->VNF_4,5,5,0,329.3333,105.0000,138.6667,15,3.00,True,False,True,resource_aware,,,0.4989
REQ_1281,VNF_1->VNF_5->VNF_4,5,5,0,161.3333,90.0000,139.3333,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4557
REQ_1284,VNF_2->VNF_1->VNF_7,5,5,0,175.6667,75.0000,73.6667,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4555
REQ_1290,VNF_5->VNF_1->VNF_7,5,5,0,253.0000,54.0000,130.3333,9,1.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4580
REQ_1296,VNF_4->VNF_1->VNF_3,5,5,0,85.0000,95.0000,80.0000,19,3.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4578
REQ_1297,VNF_2->VNF_3->VNF_5,5,5,0,156.0000,66.0000,286.0000,11,2.20,True,False,True,"smart_greedy,resource_aware",,,0.4588
REQ_1302,VNF_4->VNF_6->VNF_2,5,5,0,238.0000,160.0000,196.0000,20,4.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4630
REQ_1307,VNF_5->VNF_7->VNF_4,5,5,0,114.0000,68.0000,88.6667,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4576
REQ_1316,VNF_8->VNF_7->VNF_2,5,5,0,326.6667,136.0000,160.0000,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4630
REQ_1317,VNF_4->VNF_2->VNF_1,5,5,0,112.0000,85.0000,80.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4663
REQ_1322,VNF_2->VNF_7->VNF_3,5,5,0,195.0000,64.0000,175.0000,8,1.60,True,False,True,"smart_greedy,smart_greedy,smart_greedy,smart_greedy,smart_greedy",,,0.4678
REQ_1325,VNF_6->VNF_7->VNF_3,5,5,0,266.0000,144.0000,171.0000,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.6220
REQ_1330,VNF_3->VNF_4->VNF_6,5,5,0,198.0000,96.0000,220.0000,12,2.40,True,False,True,"smart_greedy,resource_aware",,,0.4828
REQ_1337,VNF_2->VNF_3->VNF_4,5,5,0,176.0000,136.0000,278.6667,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4680
REQ_1343,VNF_8->VNF_5->VNF_4,5,5,0,145.0000,104.0000,135.0000,13,2.60,True,False,True,"smart_greedy,smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4711
REQ_1353,VNF_1->VNF_6->VNF_4,5,5,0,132.0000,68.0000,58.6667,17,3.40,True,False,True,resource_aware,,,0.4720
