Time_Interval,Request_Count,Acceptance_Rate,Total_CPU_Consumed,Total_BW_Consumed
50,27,100.00%,3895.0000,1848.0000
100,31,100.00%,4350.0000,2390.0000
150,49,100.00%,6830.0000,3340.0000
200,50,100.00%,6980.0000,3574.0000
250,50,100.00%,6895.0000,3510.0000
300,50,100.00%,6780.0000,3538.0000
350,50,100.00%,7245.0000,3331.0000
400,50,100.00%,6810.0000,3295.0000
