time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,5,10,0.2875,0.0875,0.5167,10,2.00,True,False,False,,,,0.3703
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0216
8,REQ_25,VNF_2->VNF_3->VNF_8,5,5,0,100.0000,60.0000,110.0000,100.0000,60.0000,110.0000,3,12,0.4167,0.0625,0.6111,12,2.40,True,False,False,,,,0.0142
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,3,10,0.5208,0.0625,0.3611,10,2.00,True,False,False,,,,0.0142
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,70.0000,145.0000,145.0000,70.0000,145.0000,5,10,0.3625,0.0875,0.4833,10,2.00,True,False,False,,,,0.0118
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,112.0000,110.0000,185.0000,112.0000,110.0000,5,14,0.4625,0.1000,0.3667,14,2.80,True,False,False,,,,0.0250
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,4,10,0.3125,0.0500,0.2917,10,2.00,True,False,False,,,,0.0240
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,55.0000,85.0000,110.0000,55.0000,85.0000,2,11,0.6875,0.0625,0.7083,11,2.20,True,False,False,,,,0.2649
32,REQ_141,VNF_8->VNF_5->VNF_1,5,5,0,100.0000,44.0000,50.0000,100.0000,44.0000,50.0000,2,11,0.6250,0.0500,0.4167,11,2.20,True,False,False,,,,0.2769
38,REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,115.0000,55.0000,70.0000,115.0000,55.0000,70.0000,3,11,0.4792,0.0625,0.3889,11,2.20,True,False,False,,,,0.2733
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,55.0000,70.0000,135.0000,55.0000,70.0000,3,11,0.5625,0.0625,0.3889,11,2.20,True,False,False,,,,0.2829
47,REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,85.0000,52.0000,90.0000,85.0000,52.0000,90.0000,2,13,0.5312,0.0500,0.7500,13,2.60,True,False,False,,,,0.2647
52,REQ_229,VNF_4->VNF_6->VNF_8,5,5,0,90.0000,52.0000,45.0000,90.0000,48.0000,45.0000,3,12,0.3750,0.0500,0.2500,13,2.60,True,False,True,resource_aware,,,0.4470
53,REQ_233,VNF_7->VNF_1->VNF_8,5,5,0,170.0000,65.0000,35.0000,170.0000,60.0000,35.0000,4,12,0.5312,0.0625,0.1458,13,2.60,True,False,True,resource_aware,,,0.4269
54,REQ_236,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,84.0000,155.0000,135.0000,77.0000,155.0000,2,11,0.8438,0.0875,1.2917,12,2.40,True,False,True,resource_aware,,,0.4340
55,REQ_241,VNF_6->VNF_2->VNF_3,5,5,0,160.0000,120.0000,180.0000,160.0000,88.0000,180.0000,6,11,0.3333,0.1000,0.5000,15,3.00,True,False,True,"smart_greedy,smart_greedy",,,0.4232
56,REQ_243,VNF_3->VNF_5->VNF_6,5,5,0,100.0000,66.0000,135.0000,100.0000,48.0000,135.0000,2,8,0.6250,0.0750,1.1250,11,2.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4240
57,REQ_246,VNF_1->VNF_6->VNF_8,5,5,0,200.0000,112.0000,55.0000,200.0000,91.0000,55.0000,4,13,0.6250,0.0875,0.2292,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4242
58,REQ_253,VNF_6->VNF_8->VNF_1,5,5,0,145.0000,60.0000,40.0000,145.0000,40.0000,40.0000,4,8,0.4531,0.0625,0.1667,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4203
59,REQ_254,VNF_5->VNF_1->VNF_3,5,5,0,70.0000,52.0000,80.0000,70.0000,40.0000,80.0000,2,10,0.4375,0.0500,0.6667,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4345
60,REQ_258,VNF_5->VNF_8->VNF_7,5,5,0,190.0000,70.0000,105.0000,190.0000,70.0000,105.0000,4,10,0.5938,0.0875,0.4375,10,2.00,True,False,True,smart_greedy,,,0.4402
61,REQ_265,VNF_5->VNF_1->VNF_3,5,5,0,105.0000,60.0000,125.0000,105.0000,54.0000,125.0000,5,9,0.2625,0.0750,0.4167,10,2.00,True,False,True,"smart_greedy,smart_greedy,smart_greedy",,,0.4463
62,REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,160.0000,114.0000,95.0000,160.0000,72.0000,95.0000,3,12,0.6667,0.0750,0.5278,19,3.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4367
63,REQ_274,VNF_8->VNF_6->VNF_1,5,5,0,170.0000,72.0000,50.0000,170.0000,66.0000,50.0000,3,11,0.7083,0.0750,0.2778,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4345
64,REQ_278,VNF_6->VNF_3->VNF_4,5,5,0,115.0000,63.0000,130.0000,115.0000,56.0000,130.0000,5,8,0.2875,0.0875,0.4333,9,1.80,True,False,True,"smart_greedy,smart_greedy",,,0.4359
65,REQ_283,VNF_7->VNF_2->VNF_5,5,5,0,205.0000,144.0000,165.0000,205.0000,112.0000,165.0000,4,14,0.6406,0.1000,0.6875,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4197
66,REQ_290,VNF_5->VNF_6->VNF_2,5,5,0,85.0000,64.0000,85.0000,85.0000,44.0000,85.0000,2,11,0.5312,0.0500,0.7083,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4272
67,REQ_294,VNF_4->VNF_1->VNF_8,5,5,0,120.0000,75.0000,45.0000,120.0000,60.0000,45.0000,2,12,0.7500,0.0625,0.3750,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4241
68,REQ_297,VNF_2->VNF_1->VNF_4,5,5,0,170.0000,168.0000,120.0000,170.0000,128.0000,120.0000,3,16,0.7083,0.1000,0.6667,21,4.20,True,False,True,"resource_aware,resource_aware",,,0.4609
69,REQ_303,VNF_7->VNF_6->VNF_3,5,5,0,180.0000,84.0000,120.0000,180.0000,84.0000,120.0000,3,12,0.7500,0.0875,0.6667,12,2.40,True,False,True,"smart_greedy,smart_greedy",,,0.4390
70,REQ_311,VNF_6->VNF_7->VNF_8,5,5,0,165.0000,80.0000,50.0000,165.0000,65.0000,50.0000,2,13,1.0312,0.0625,0.4167,16,3.20,True,False,True,resource_aware,,,0.4717
71,REQ_314,VNF_8->VNF_6->VNF_4,5,5,0,185.0000,96.0000,95.0000,185.0000,80.0000,95.0000,2,10,1.1562,0.1000,0.7917,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4716
72,REQ_318,VNF_7->VNF_2->VNF_3,5,5,0,120.0000,70.0000,110.0000,120.0000,50.0000,110.0000,3,10,0.5000,0.0625,0.6111,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.7811
73,REQ_324,VNF_1->VNF_7->VNF_6,5,5,0,195.0000,90.0000,50.0000,195.0000,78.0000,50.0000,1,13,2.4375,0.0750,0.8333,15,3.00,True,False,True,resource_aware,,,0.4701
74,REQ_325,VNF_3->VNF_2->VNF_5,5,5,0,100.0000,84.0000,190.0000,100.0000,84.0000,190.0000,4,12,0.3125,0.0875,0.7917,12,2.40,True,False,True,smart_greedy,,,0.4866
75,REQ_330,VNF_2->VNF_7->VNF_5,5,5,0,105.0000,40.0000,85.0000,105.0000,32.0000,85.0000,4,8,0.3281,0.0500,0.3542,10,2.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4829
76,REQ_337,VNF_2->VNF_3->VNF_8,5,5,0,160.0000,128.0000,175.0000,160.0000,104.0000,175.0000,8,13,0.2500,0.1000,0.3646,16,3.20,True,False,True,"smart_greedy,smart_greedy,smart_greedy",,,0.4618
77,REQ_339,VNF_6->VNF_7->VNF_4,5,5,0,105.0000,40.0000,50.0000,105.0000,36.0000,50.0000,2,9,0.6562,0.0500,0.4167,10,2.00,True,False,True,resource_aware,,,0.4829
