time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
62,REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,160.0000,84.0000,95.0000,160.0000,84.0000,95.0000,4,14,0.5000,0.0750,0.3958,14,2.80,True,False,False,,,,0.2423
66,REQ_290,VNF_5->VNF_6->VNF_2,5,5,0,85.0000,52.0000,85.0000,85.0000,52.0000,85.0000,3,13,0.3542,0.0500,0.4722,13,2.60,True,False,False,,,,0.2427
69,REQ_303,VNF_7->VNF_6->VNF_3,5,5,0,180.0000,91.0000,120.0000,180.0000,91.0000,120.0000,4,13,0.5625,0.0875,0.5000,13,2.60,True,False,False,,,,0.2338
75,REQ_330,VNF_2->VNF_7->VNF_5,5,5,0,105.0000,40.0000,85.0000,105.0000,36.0000,85.0000,4,9,0.3281,0.0500,0.3542,10,2.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6721
76,REQ_337,VNF_2->VNF_3->VNF_8,5,5,0,160.0000,112.0000,175.0000,160.0000,104.0000,175.0000,6,13,0.3333,0.1000,0.4861,14,2.80,True,False,True,"resource_aware,smart_greedy,resource_aware",,,0.4009
77,REQ_339,VNF_6->VNF_7->VNF_4,5,5,0,105.0000,48.0000,50.0000,105.0000,32.0000,50.0000,3,8,0.4375,0.0500,0.2778,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4030
78,REQ_346,VNF_6->VNF_4->VNF_3,5,5,0,135.0000,104.0000,150.0000,135.0000,88.0000,150.0000,7,11,0.2411,0.1000,0.3571,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware,smart_greedy",,,0.4011
79,REQ_349,VNF_8->VNF_1->VNF_6,5,5,0,200.0000,98.0000,55.0000,200.0000,84.0000,55.0000,2,12,1.2500,0.0875,0.4583,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4029
80,REQ_353,VNF_2->VNF_4->VNF_5,5,5,0,130.0000,120.0000,180.0000,130.0000,96.0000,180.0000,3,12,0.5417,0.1000,1.0000,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4026
81,REQ_357,VNF_3->VNF_8->VNF_2,5,5,0,135.0000,105.0000,150.0000,135.0000,91.0000,150.0000,6,13,0.2812,0.0875,0.4167,15,3.00,True,False,True,"smart_greedy,resource_aware",,,0.4023
