Metric,Value
Total Requests,27
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,130.5556
Avg BW per Deployment,71.4815
Avg MEM per Deployment,96.2963
""
Avg CPU Utilization,39.40%
Avg BW Utilization,5.81%
Avg MEM Utilization,38.92%
Std CPU Utilization,0.1559
Std BW Utilization,0.0131
Std MEM Utilization,0.1797
""
Avg Hops per Destination,2.50
Avg Deployment Time (s),0.2991
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,2
  smart_greedy,20
